round,slot,team_a,seed_a,elo_a,team_b,seed_b,elo_b,win_prob,winner,winner_id
Play-In,X16,Lehigh,X16a,1334.2888417482743,Prairie View,X16b,1167.1810099237234,0.7367775468827282,Lehigh,1250
Play-In,Y11,Miami OH,Y11a,1645.7332941519153,SMU,Y11b,1800.7449715672446,0.7220757127715303,SMU,1374
Play-In,Y16,Howard,Y16a,1299.0027641943138,UMBC,Y16b,1418.7691881455974,0.6764907622219396,UMBC,1420
Play-In,Z11,NC State,Z11a,1811.0959331558875,Texas,Z11b,1870.4175667831757,0.5903437418672226,Texas,1400
Round of 64,R1W1,Duke,W01,2124.549830162991,Siena,W16,1470.2653942555717,0.9825362416782327,Duke,1181
Round of 64,R1W2,Connecticut,W02,2022.24256289383,Furman,W15,1456.9492381994014,0.9701676713317955,Connecticut,1163
Round of 64,R1W3,Michigan St,W03,2049.302889557212,N Dakota St,W14,1530.341213954741,0.9607023682145184,Michigan St,1277
Round of 64,R1W4,Kansas,W04,1983.3107440659794,Cal Baptist,W13,1579.737553435215,0.9231385452292943,Kansas,1242
Round of 64,R1W5,St John's,W05,2095.5632649985905,Northern Iowa,W12,1693.2616186847292,0.9225809925851765,St John's,1385
Round of 64,R1W6,Louisville,W06,1928.976996425819,South Florida,W11,1799.3567705630758,0.6896288638280286,Louisville,1257
Round of 64,R1W7,UCLA,W07,1986.6804517091066,UCF,W10,1879.2616853905113,0.6596279710889097,UCLA,1417
Round of 64,R1W8,Ohio St,W08,1948.6251386859215,TCU,W09,1917.1835222169057,0.5482647389565389,Ohio St,1326
Round of 64,R1X1,Florida,X01,2101.738550120311,Lehigh,X16,1344.7953835087442,0.9906439054638029,Florida,1196
Round of 64,R1X2,Houston,X02,2112.822753134146,Idaho,X15,1458.763914123586,0.9825123827949531,Houston,1222
Round of 64,R1X3,Illinois,X03,2013.578494334224,Penn,X14,1535.1118216765817,0.9501250559222242,Illinois,1228
Round of 64,R1X4,Nebraska,X04,1987.1119183850903,Troy,X13,1524.5230234919377,0.945281299785556,Nebraska,1304
Round of 64,R1X5,Vanderbilt,X05,2018.7097321308522,McNeese St,X12,1604.3600522346721,0.9277179338207651,Vanderbilt,1435
