round,slot,team_a,seed_a,elo_a,team_b,seed_b,elo_b,win_prob,winner,winner_id
Play-In,X10,Arizona St,X10a,1911.7724320480797,Virginia,X10b,1876.423699105631,0.5542178647162952,Arizona St,3113
Play-In,X16,Samford,X16a,1348.4429948758816,Southern Univ,X16b,1283.6000869917114,0.5985421465068462,Samford,3359
Play-In,Y16,Missouri St,Y16a,1639.7230761997382,SF Austin,Y16b,1456.527727201851,0.755539108674814,Missouri St,3283
Play-In,Z11,Nebraska,Z11a,1974.0141764089929,Richmond,Z11b,1804.7302533007528,0.7393687013756373,Nebraska,3304
Round of 64,R1W1,Connecticut,W01,2252.2822745564094,UT San Antonio,W16,1682.237075063351,0.9710032207846507,Connecticut,3163
Round of 64,R1W2,Vanderbilt,W02,2141.7427326620827,High Point,W15,1419.8274378193917,0.988417112399493,Vanderbilt,3435
Round of 64,R1W3,Ohio St,W03,2142.8770222388453,Howard,W14,1447.8355831353822,0.9863604574878413,Ohio St,3326
Round of 64,R1W4,North Carolina,W04,2056.886583786251,W Illinois,W13,1547.8476717613362,0.9583288511925419,North Carolina,3314
Round of 64,R1W5,Maryland,W05,2054.601561166386,Murray St,W12,1757.982149853024,0.8614042027361897,Maryland,3268
Round of 64,R1W6,Notre Dame,W06,2034.1636676327776,Fairfield,W11,1669.6488323284402,0.9042355352193415,Notre Dame,3323
Round of 64,R1W7,Illinois,W07,2009.8198814727905,Colorado,W10,1944.143192635521,0.5997755508024036,Illinois,3228
Round of 64,R1W8,Iowa St,W08,1981.5401184946859,Syracuse,W09,1920.8836622909714,0.5923305808168672,Iowa St,3235
Round of 64,R1X1,South Carolina,X01,2286.1179140192858,Samford,X16,1363.9375758030387,0.9965983645767933,South Carolina,3376
Round of 64,R1X2,Iowa,X02,2177.225473821412,F Dickinson,X15,1414.0424262746756,0.9909934979369884,Iowa,3234
Round of 64,R1X3,TCU,X03,2121.2156644094916,UC San Diego,X14,1564.3688071302233,0.9686245384153708,TCU,3395
Round of 64,R1X4,Oklahoma,X04,2106.607640597286,Idaho,X13,1675.2171324865042,0.9344480588102622,Oklahoma,3328
Round of 64,R1X5,Michigan St,X05,2037.3332785964596,Colorado St,X12,1737.4662253459592,0.8637751500444648,Michigan St,3277
Round of 64,R1X6,Washington,X06,2024.9793482132704,S Dakota St,X11,1757.2418810925633,0.8387702147727408,Washington,3449
Round of 64,R1X7,Georgia,X07,2010.7326726487547,Arizona St,X10,1928.8459798185454,0.6234867170280236,Georgia,3208
Round of 64,R1X8,Clemson,X08,1897.0950877124806,USC,X09,2038.4936238732735,0.7049396494764769,USC,3425
Round of 64,R1Y1,Texas,Y01,2281.365377357887,Missouri St,Y16,1649.540412457457,0.9799970979405745,Texas,3400
Round of 64,R1Y2,Michigan,Y02,2155.9365266158343,Holy Cross,Y15,1518.4885849153477,0.9806648578820198,Michigan,3276
Round of 64,R1Y3,Louisville,Y03,2074.5371708179773,Vermont,Y14,1577.6818348391178,0.9552267665415477,Louisville,3257
