iter	Passed	Remaining
0	24	12367
1	41	10282
2	51	8485
3	58	7315
4	66	6612
5	73	6052
6	82	5789
7	88	5466
8	96	5244
9	103	5086
10	110	4892
11	115	4715
12	122	4579
13	129	4486
14	135	4392
15	142	4300
16	148	4222
17	154	4144
18	162	4106
19	169	4070
20	179	4084
21	187	4076
22	197	4094
23	206	4097
24	216	4106
25	227	4151
26	238	4183
27	250	4217
28	260	4236
29	271	4247
30	282	4268
31	295	4315
32	306	4336
33	317	4355
34	329	4371
35	346	4463
36	358	4487
37	370	4510
38	383	4529
39	394	4541
40	406	4554
41	420	4581
42	431	4583
43	442	4589
44	454	4595
45	465	4589
46	475	4582
47	488	4596
48	501	4611
49	513	4624
50	530	4674
51	551	4747
52	566	4778
53	580	4793
54	593	4801
55	606	4809
56	620	4819
57	635	4839
58	645	4825
59	654	4800
60	666	4796
61	678	4791
62	688	4776
63	699	4767
64	714	4779
65	724	4764
66	735	4754
67	747	4751
68	761	4754
69	775	4764
70	790	4773
71	802	4772
72	813	4756
73	823	4743
74	832	4717
75	842	4702
76	853	4691
77	864	4679
78	875	4663
79	885	4650
80	897	4640
81	909	4634
82	923	4639
83	937	4640
84	947	4623
85	956	4604
86	966	4587
87	976	4571
88	986	4554
89	997	4544
90	1008	4533
91	1020	4524
92	1031	4512
93	1043	4505
94	1054	4497
95	1068	4495
96	1083	4502
97	1097	4503
98	1111	4501
99	1123	4494
100	1134	4480
101	1143	4462
102	1153	4444
103	1161	4423
104	1170	4403
105	1181	4392
106	1192	4378
107	1202	4364
108	1212	4350
109	1223	4338
110	1234	4325
111	1247	4321
112	1258	4309
113	1269	4298
114	1281	4290
115	1292	4277
116	1305	4273
117	1316	4262
118	1329	4255
119	1339	4241
120	1351	4232
121	1363	4224
122	1373	4210
123	1385	4199
124	1397	4191
125	1406	4175
126	1419	4167
127	1429	4153
128	1440	4143
129	1452	4134
130	1463	4123
131	1474	4110
132	1487	4104
133	1498	4093
134	1512	4088
135	1526	4085
136	1538	4075
137	1549	4064
138	1559	4049
139	1569	4036
140	1580	4025
141	1591	4012
142	1601	3997
143	1611	3984
144	1623	3973
145	1633	3961
146	1645	3950
147	1656	3939
148	1669	3933
149	1684	3930
150	1695	3918
151	1707	3908
152	1719	3898
153	1731	3889
154	1745	3884
155	1755	3872
156	1767	3861
157	1777	3847
158	1789	3837
159	1800	3825
160	1811	3813
161	1823	3804
162	1839	3804
163	1857	3805
164	1871	3798
165	1884	3792
166	1896	3781
167	1914	3782
168	1932	3784
169	1947	3780
170	1968	3788
171	1981	3777
172	1989	3761
173	1997	3743
174	2006	3726
175	2017	3714
176	2026	3698
177	2036	3683
178	2047	3671
179	2056	3656
180	2067	3644
181	2079	3632
182	2090	3621
183	2104	3613
184	2115	3601
185	2126	3589
186	2136	3576
187	2148	3565
188	2157	3550
189	2167	3536
190	2178	3524
191	2190	3513
192	2202	3504
193	2218	3499
194	2230	3488
195	2240	3474
196	2251	3462
197	2260	3448
198	2269	3433
199	2280	3421
200	2289	3405
201	2298	3390
202	2308	3376
203	2317	3362
204	2326	3348
205	2339	3339
206	2351	3328
207	2362	3316
208	2372	3303
209	2383	3291
210	2394	3279
211	2407	3269
212	2419	3260
213	2432	3251
214	2440	3235
215	2450	3221
216	2458	3205
217	2467	3191
218	2477	3178
219	2487	3165
220	2497	3152
221	2509	3142
222	2521	3131
223	2532	3120
224	2542	3106
225	2553	3096
226	2567	3088
227	2578	3076
228	2592	3068
229	2604	3057
230	2615	3046
231	2628	3036
232	2642	3027
233	2652	3015
234	2661	3001
235	2670	2986
236	2678	2971
237	2686	2957
238	2696	2944
239	2704	2930
240	2714	2916
241	2724	2904
242	2735	2893
243	2748	2883
244	2757	2869
245	2769	2859
246	2780	2847
247	2791	2836
248	2801	2824
249	2813	2813
250	2823	2800
251	2836	2791
252	2846	2779
253	2857	2767
254	2869	2757
255	2882	2747
256	2891	2733
257	2900	2721
258	2910	2708
259	2921	2696
260	2933	2685
261	2944	2674
262	2955	2663
263	2967	2652
264	2979	2642
265	2989	2630
266	3002	2619
267	3012	2607
268	3022	2595
269	3033	2583
270	3044	2572
271	3054	2560
272	3068	2551
273	3085	2544
274	3100	2536
275	3111	2525
276	3123	2514
277	3132	2501
278	3142	2489
279	3152	2476
280	3163	2465
281	3174	2454
282	3186	2443
283	3197	2431
284	3209	2421
285	3221	2410
286	3233	2399
287	3244	2388
288	3258	2379
289	3271	2368
290	3283	2358
291	3295	2347
292	3308	2337
293	3318	2325
294	3327	2312
295	3335	2298
296	3344	2286
297	3357	2275
298	3367	2263
299	3377	2251
300	3391	2242
301	3406	2233
302	3417	2222
303	3429	2211
304	3438	2198
305	3453	2189
306	3465	2178
307	3482	2171
308	3508	2168
309	3529	2163
310	3550	2157
311	3571	2152
312	3586	2142
313	3600	2133
314	3614	2122
315	3628	2112
316	3641	2102
317	3654	2091
318	3664	2079
319	3673	2066
320	3681	2053
321	3694	2042
322	3714	2035
323	3730	2026
324	3742	2014
325	3752	2002
326	3766	1992
327	3776	1980
328	3788	1969
329	3799	1957
330	3810	1945
331	3820	1933
332	3829	1920
333	3840	1908
334	3851	1897
335	3862	1885
336	3874	1874
337	3888	1863
338	3897	1851
339	3907	1838
340	3919	1827
341	3931	1816
342	3944	1805
343	3955	1793
344	3966	1782
345	3973	1768
346	3983	1756
347	3994	1744
348	4004	1732
349	4014	1720
350	4026	1709
351	4038	1698
352	4050	1686
353	4061	1675
354	4072	1663
355	4083	1651
356	4096	1640
357	4109	1630
358	4123	1619
359	4133	1607
360	4146	1596
361	4158	1585
362	4170	1574
363	4182	1562
364	4191	1550
365	4201	1538
366	4209	1525
367	4219	1513
368	4228	1501
369	4238	1489
370	4249	1477
371	4263	1467
372	4274	1455
373	4282	1442
374	4290	1430
375	4299	1417
376	4307	1405
377	4319	1394
378	4330	1382
379	4340	1370
380	4354	1360
381	4366	1348
382	4378	1337
383	4391	1326
384	4405	1315
385	4421	1305
386	4433	1294
387	4445	1283
388	4456	1271
389	4468	1260
390	4479	1248
391	4494	1238
392	4505	1226
393	4518	1215
394	4530	1204
395	4542	1193
396	4557	1182
397	4570	1171
398	4582	1159
399	4596	1149
400	4612	1138
401	4624	1127
402	4635	1115
403	4644	1103
404	4654	1091
405	4667	1080
406	4678	1068
407	4688	1057
408	4700	1045
409	4712	1034
410	4725	1023
411	4745	1013
412	4765	1003
413	4784	993
414	4806	984
415	4827	974
416	4852	965
417	4869	955
418	4881	943
419	4891	931
420	4903	920
421	4915	908
422	4928	897
423	4942	885
424	4955	874
425	4969	863
426	4980	851
427	4991	839
428	5004	828
429	5016	816
430	5027	804
431	5040	793
432	5053	781
433	5064	770
434	5072	757
435	5082	746
436	5091	734
437	5100	721
438	5108	709
439	5117	697
440	5127	686
441	5136	674
442	5146	662
443	5158	650
444	5171	639
445	5183	627
446	5194	615
447	5205	604
448	5216	592
449	5225	580
450	5236	568
451	5246	557
452	5257	545
453	5271	534
454	5282	522
455	5294	510
456	5304	499
457	5311	487
458	5319	475
459	5326	463
460	5334	451
461	5344	439
462	5352	427
463	5362	416
464	5372	404
465	5382	392
466	5392	381
467	5406	369
468	5418	358
469	5428	346
470	5439	334
471	5448	323
472	5460	311
473	5472	300
474	5483	288
475	5494	277
476	5507	265
477	5518	253
478	5528	242
479	5538	230
480	5547	219
481	5555	207
482	5563	195
483	5572	184
484	5581	172
485	5590	161
486	5602	149
487	5615	138
488	5627	126
489	5640	115
490	5653	103
491	5664	92
492	5676	80
493	5687	69
494	5701	57
495	5714	46
496	5725	34
497	5740	23
498	5755	11
499	5765	0
