Total configs: 1651
Building features...
Loading ML odds...
  [0] win=54.8% bets=248 ROI=+6.1%  ['elo_diff', 'elo_pred', 'home']
  [1] win=66.2% bets=720 ROI=+28.5%  ['elo_diff', 'elo_pred', 'massey_avg_diff']
  [2] win=50.3% bets=469 ROI=-2.6%  ['elo_diff', 'elo_pred', 'margin_mean_diff']
  [3] win=49.7% bets=465 ROI=-3.8%  ['elo_diff', 'elo_pred', 'barthag_diff']
  [4] win=50.4% bets=474 ROI=-2.2%  ['elo_diff', 'elo_pred', 'sos_diff']
  [5] win=50.3% bets=465 ROI=-2.5%  ['elo_diff', 'elo_pred', 'conf_elo_diff']
  [6] win=50.0% bets=468 ROI=-3.2%  ['elo_diff', 'elo_pred', 'trank_adjO_diff']
  [7] win=50.1% bets=467 ROI=-2.9%  ['elo_diff', 'elo_pred', 'trank_adjD_diff']
  [8] win=52.0% bets=485 ROI=+0.8%  ['elo_diff', 'elo_pred', 'off_eff_r10_diff']
  [9] win=49.4% bets=464 ROI=-4.5%  ['elo_diff', 'elo_pred', 'def_eff_r10_diff']
  [10] win=76.8% bets=487 ROI=+48.6%  ['elo_diff', 'home', 'massey_avg_diff']
  [11] win=53.5% bets=230 ROI=+3.4%  ['elo_diff', 'home', 'margin_mean_diff']
  [12] win=55.1% bets=245 ROI=+6.6%  ['elo_diff', 'home', 'barthag_diff']
  [13] win=53.0% bets=251 ROI=+2.5%  ['elo_diff', 'home', 'sos_diff']
  [14] win=55.2% bets=250 ROI=+6.8%  ['elo_diff', 'home', 'conf_elo_diff']
  [15] win=54.3% bets=245 ROI=+5.0%  ['elo_diff', 'home', 'trank_adjO_diff']
  [16] win=54.9% bets=244 ROI=+6.3%  ['elo_diff', 'home', 'trank_adjD_diff']
  [17] win=58.8% bets=221 ROI=+14.1%  ['elo_diff', 'home', 'off_eff_r10_diff']
  [18] win=55.8% bets=242 ROI=+7.8%  ['elo_diff', 'home', 'def_eff_r10_diff']
  [19] win=65.3% bets=752 ROI=+26.5%  ['elo_diff', 'massey_avg_diff', 'margin_mean_diff']
  [20] win=65.6% bets=744 ROI=+27.2%  ['elo_diff', 'massey_avg_diff', 'barthag_diff']
  [21] win=65.0% bets=746 ROI=+26.1%  ['elo_diff', 'massey_avg_diff', 'sos_diff']
  [22] win=66.4% bets=735 ROI=+28.6%  ['elo_diff', 'massey_avg_diff', 'conf_elo_diff']
  [23] win=65.2% bets=747 ROI=+26.4%  ['elo_diff', 'massey_avg_diff', 'trank_adjO_diff']
  [24] win=65.9% bets=742 ROI=+27.8%  ['elo_diff', 'massey_avg_diff', 'trank_adjD_diff']
  [25] win=65.0% bets=746 ROI=+26.1%  ['elo_diff', 'massey_avg_diff', 'off_eff_r10_diff']
  [26] win=65.1% bets=751 ROI=+26.2%  ['elo_diff', 'massey_avg_diff', 'def_eff_r10_diff']
  [27] win=51.1% bets=501 ROI=-1.2%  ['elo_diff', 'margin_mean_diff', 'barthag_diff']
  [28] win=50.0% bets=534 ROI=-3.2%  ['elo_diff', 'margin_mean_diff', 'sos_diff']
  [29] win=51.0% bets=508 ROI=-1.3%  ['elo_diff', 'margin_mean_diff', 'conf_elo_diff']
  [30] win=51.0% bets=510 ROI=-1.4%  ['elo_diff', 'margin_mean_diff', 'trank_adjO_diff']
  [31] win=50.1% bets=507 ROI=-3.0%  ['elo_diff', 'margin_mean_diff', 'trank_adjD_diff']
  [32] win=51.7% bets=526 ROI=+0.1%  ['elo_diff', 'margin_mean_diff', 'off_eff_r10_diff']
  [33] win=51.1% bets=524 ROI=-1.0%  ['elo_diff', 'margin_mean_diff', 'def_eff_r10_diff']
  [34] win=50.2% bets=520 ROI=-2.7%  ['elo_diff', 'barthag_diff', 'sos_diff']
  [35] win=50.3% bets=509 ROI=-2.5%  ['elo_diff', 'barthag_diff', 'conf_elo_diff']
  [36] win=50.9% bets=523 ROI=-1.5%  ['elo_diff', 'barthag_diff', 'trank_adjO_diff']
  [37] win=51.0% bets=520 ROI=-1.3%  ['elo_diff', 'barthag_diff', 'trank_adjD_diff']
  [38] win=51.7% bets=522 ROI=+0.1%  ['elo_diff', 'barthag_diff', 'off_eff_r10_diff']
  [39] win=50.2% bets=514 ROI=-2.9%  ['elo_diff', 'barthag_diff', 'def_eff_r10_diff']
  [40] win=50.0% bets=504 ROI=-3.1%  ['elo_diff', 'sos_diff', 'conf_elo_diff']
  [41] win=50.5% bets=521 ROI=-2.2%  ['elo_diff', 'sos_diff', 'trank_adjO_diff']
  [42] win=50.6% bets=524 ROI=-2.0%  ['elo_diff', 'sos_diff', 'trank_adjD_diff']
  [43] win=52.2% bets=523 ROI=+1.1%  ['elo_diff', 'sos_diff', 'off_eff_r10_diff']
  [44] win=50.6% bets=518 ROI=-2.1%  ['elo_diff', 'sos_diff', 'def_eff_r10_diff']
  [45] win=51.0% bets=514 ROI=-1.2%  ['elo_diff', 'conf_elo_diff', 'trank_adjO_diff']
  [46] win=50.2% bets=506 ROI=-2.8%  ['elo_diff', 'conf_elo_diff', 'trank_adjD_diff']
  [47] win=52.2% bets=523 ROI=+1.2%  ['elo_diff', 'conf_elo_diff', 'off_eff_r10_diff']
  [48] win=50.9% bets=497 ROI=-1.4%  ['elo_diff', 'conf_elo_diff', 'def_eff_r10_diff']
  [49] win=50.7% bets=521 ROI=-1.9%  ['elo_diff', 'trank_adjO_diff', 'trank_adjD_diff']
