Total configs: 1651
Building features...
Loading ML odds...
  [50] win=52.1% bets=524 ROI=+0.9%  ['elo_diff', 'trank_adjO_diff', 'off_eff_r10_diff']
  [51] win=50.3% bets=513 ROI=-2.7%  ['elo_diff', 'trank_adjO_diff', 'def_eff_r10_diff']
  [52] win=51.1% bets=526 ROI=-0.9%  ['elo_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [53] win=50.8% bets=512 ROI=-1.7%  ['elo_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [54] win=52.0% bets=519 ROI=+0.8%  ['elo_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [55] win=76.5% bets=494 ROI=+48.0%  ['elo_pred', 'home', 'massey_avg_diff']
  [56] win=54.4% bets=281 ROI=+5.2%  ['elo_pred', 'home', 'margin_mean_diff']
  [57] win=53.5% bets=325 ROI=+3.3%  ['elo_pred', 'home', 'barthag_diff']
  [58] win=56.4% bets=328 ROI=+9.0%  ['elo_pred', 'home', 'sos_diff']
  [59] win=55.4% bets=323 ROI=+7.0%  ['elo_pred', 'home', 'conf_elo_diff']
  [60] win=54.2% bets=323 ROI=+4.7%  ['elo_pred', 'home', 'trank_adjO_diff']
  [61] win=53.7% bets=328 ROI=+3.6%  ['elo_pred', 'home', 'trank_adjD_diff']
  [62] win=57.7% bets=291 ROI=+11.7%  ['elo_pred', 'home', 'off_eff_r10_diff']
  [63] win=53.5% bets=310 ROI=+3.4%  ['elo_pred', 'home', 'def_eff_r10_diff']
  [64] win=65.7% bets=749 ROI=+27.4%  ['elo_pred', 'massey_avg_diff', 'margin_mean_diff']
  [65] win=66.3% bets=734 ROI=+28.7%  ['elo_pred', 'massey_avg_diff', 'barthag_diff']
  [66] win=65.8% bets=743 ROI=+27.7%  ['elo_pred', 'massey_avg_diff', 'sos_diff']
  [67] win=66.6% bets=727 ROI=+29.0%  ['elo_pred', 'massey_avg_diff', 'conf_elo_diff']
  [68] win=66.0% bets=740 ROI=+27.9%  ['elo_pred', 'massey_avg_diff', 'trank_adjO_diff']
  [69] win=66.4% bets=738 ROI=+28.8%  ['elo_pred', 'massey_avg_diff', 'trank_adjD_diff']
  [70] win=65.9% bets=741 ROI=+27.8%  ['elo_pred', 'massey_avg_diff', 'off_eff_r10_diff']
  [71] win=65.8% bets=745 ROI=+27.6%  ['elo_pred', 'massey_avg_diff', 'def_eff_r10_diff']
  [72] win=51.3% bets=632 ROI=-0.9%  ['elo_pred', 'margin_mean_diff', 'barthag_diff']
  [73] win=50.7% bets=637 ROI=-2.0%  ['elo_pred', 'margin_mean_diff', 'sos_diff']
  [74] win=51.4% bets=630 ROI=-0.6%  ['elo_pred', 'margin_mean_diff', 'conf_elo_diff']
  [75] win=51.5% bets=644 ROI=-0.3%  ['elo_pred', 'margin_mean_diff', 'trank_adjO_diff']
  [76] win=50.2% bets=639 ROI=-2.9%  ['elo_pred', 'margin_mean_diff', 'trank_adjD_diff']
  [77] win=50.2% bets=651 ROI=-2.9%  ['elo_pred', 'margin_mean_diff', 'off_eff_r10_diff']
  [78] win=50.5% bets=665 ROI=-2.3%  ['elo_pred', 'margin_mean_diff', 'def_eff_r10_diff']
  [79] win=51.2% bets=687 ROI=-1.0%  ['elo_pred', 'barthag_diff', 'sos_diff']
  [80] win=51.6% bets=659 ROI=-0.3%  ['elo_pred', 'barthag_diff', 'conf_elo_diff']
  [81] win=51.1% bets=687 ROI=-1.3%  ['elo_pred', 'barthag_diff', 'trank_adjO_diff']
  [82] win=51.0% bets=686 ROI=-1.4%  ['elo_pred', 'barthag_diff', 'trank_adjD_diff']
  [83] win=51.8% bets=653 ROI=+0.1%  ['elo_pred', 'barthag_diff', 'off_eff_r10_diff']
  [84] win=50.6% bets=674 ROI=-2.2%  ['elo_pred', 'barthag_diff', 'def_eff_r10_diff']
  [85] win=51.0% bets=671 ROI=-1.3%  ['elo_pred', 'sos_diff', 'conf_elo_diff']
  [86] win=51.1% bets=689 ROI=-1.2%  ['elo_pred', 'sos_diff', 'trank_adjO_diff']
  [87] win=51.4% bets=696 ROI=-0.6%  ['elo_pred', 'sos_diff', 'trank_adjD_diff']
  [88] win=51.1% bets=675 ROI=-1.1%  ['elo_pred', 'sos_diff', 'off_eff_r10_diff']
  [89] win=49.8% bets=685 ROI=-3.7%  ['elo_pred', 'sos_diff', 'def_eff_r10_diff']
  [90] win=51.0% bets=661 ROI=-1.5%  ['elo_pred', 'conf_elo_diff', 'trank_adjO_diff']
  [91] win=51.6% bets=655 ROI=-0.2%  ['elo_pred', 'conf_elo_diff', 'trank_adjD_diff']
  [92] win=51.9% bets=630 ROI=+0.4%  ['elo_pred', 'conf_elo_diff', 'off_eff_r10_diff']
  [93] win=50.8% bets=657 ROI=-1.6%  ['elo_pred', 'conf_elo_diff', 'def_eff_r10_diff']
  [94] win=51.1% bets=679 ROI=-1.2%  ['elo_pred', 'trank_adjO_diff', 'trank_adjD_diff']
  [95] win=51.3% bets=663 ROI=-0.9%  ['elo_pred', 'trank_adjO_diff', 'off_eff_r10_diff']
  [96] win=50.7% bets=667 ROI=-2.0%  ['elo_pred', 'trank_adjO_diff', 'def_eff_r10_diff']
  [97] win=51.2% bets=656 ROI=-0.9%  ['elo_pred', 'trank_adjD_diff', 'off_eff_r10_diff']
  [98] win=49.9% bets=674 ROI=-3.6%  ['elo_pred', 'trank_adjD_diff', 'def_eff_r10_diff']
  [99] win=50.4% bets=649 ROI=-2.6%  ['elo_pred', 'off_eff_r10_diff', 'def_eff_r10_diff']
