Total configs: 1651
Building features...
Loading ML odds...
  [500] win=51.1% bets=632 ROI=-1.2%  ['elo_pred', 'conf_elo_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [501] win=50.9% bets=652 ROI=-1.6%  ['elo_pred', 'trank_adjO_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [502] win=50.6% bets=668 ROI=-2.2%  ['elo_pred', 'trank_adjO_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [503] win=51.8% bets=645 ROI=+0.1%  ['elo_pred', 'trank_adjO_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [504] win=50.2% bets=642 ROI=-3.1%  ['elo_pred', 'trank_adjD_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [505] win=77.3% bets=472 ROI=+49.6%  ['home', 'massey_avg_diff', 'margin_mean_diff', 'barthag_diff']
  [506] win=76.8% bets=474 ROI=+48.6%  ['home', 'massey_avg_diff', 'margin_mean_diff', 'sos_diff']
  [507] win=77.7% bets=467 ROI=+50.4%  ['home', 'massey_avg_diff', 'margin_mean_diff', 'conf_elo_diff']
  [508] win=77.5% bets=467 ROI=+49.9%  ['home', 'massey_avg_diff', 'margin_mean_diff', 'trank_adjO_diff']
  [509] win=77.4% bets=465 ROI=+49.8%  ['home', 'massey_avg_diff', 'margin_mean_diff', 'trank_adjD_diff']
  [510] win=77.6% bets=468 ROI=+50.1%  ['home', 'massey_avg_diff', 'margin_mean_diff', 'off_eff_r10_diff']
  [511] win=77.6% bets=465 ROI=+50.2%  ['home', 'massey_avg_diff', 'margin_mean_diff', 'def_eff_r10_diff']
  [512] win=77.0% bets=444 ROI=+49.0%  ['home', 'massey_avg_diff', 'barthag_diff', 'sos_diff']
  [513] win=78.2% bets=440 ROI=+51.1%  ['home', 'massey_avg_diff', 'barthag_diff', 'conf_elo_diff']
  [514] win=77.5% bets=445 ROI=+49.9%  ['home', 'massey_avg_diff', 'barthag_diff', 'trank_adjO_diff']
  [515] win=76.4% bets=454 ROI=+47.8%  ['home', 'massey_avg_diff', 'barthag_diff', 'trank_adjD_diff']
  [516] win=76.8% bets=462 ROI=+48.7%  ['home', 'massey_avg_diff', 'barthag_diff', 'off_eff_r10_diff']
  [517] win=77.6% bets=451 ROI=+50.1%  ['home', 'massey_avg_diff', 'barthag_diff', 'def_eff_r10_diff']
  [518] win=78.5% bets=429 ROI=+51.9%  ['home', 'massey_avg_diff', 'sos_diff', 'conf_elo_diff']
  [519] win=77.4% bets=438 ROI=+49.7%  ['home', 'massey_avg_diff', 'sos_diff', 'trank_adjO_diff']
  [520] win=77.0% bets=440 ROI=+49.0%  ['home', 'massey_avg_diff', 'sos_diff', 'trank_adjD_diff']
  [521] win=76.9% bets=458 ROI=+48.7%  ['home', 'massey_avg_diff', 'sos_diff', 'off_eff_r10_diff']
  [522] win=77.4% bets=456 ROI=+49.8%  ['home', 'massey_avg_diff', 'sos_diff', 'def_eff_r10_diff']
  [523] win=78.0% bets=437 ROI=+50.9%  ['home', 'massey_avg_diff', 'conf_elo_diff', 'trank_adjO_diff']
  [524] win=78.2% bets=432 ROI=+51.3%  ['home', 'massey_avg_diff', 'conf_elo_diff', 'trank_adjD_diff']
  [525] win=77.3% bets=453 ROI=+49.5%  ['home', 'massey_avg_diff', 'conf_elo_diff', 'off_eff_r10_diff']
  [526] win=78.4% bets=445 ROI=+51.8%  ['home', 'massey_avg_diff', 'conf_elo_diff', 'def_eff_r10_diff']
  [527] win=77.3% bets=437 ROI=+49.6%  ['home', 'massey_avg_diff', 'trank_adjO_diff', 'trank_adjD_diff']
  [528] win=77.3% bets=450 ROI=+49.6%  ['home', 'massey_avg_diff', 'trank_adjO_diff', 'off_eff_r10_diff']
  [529] win=77.9% bets=452 ROI=+50.7%  ['home', 'massey_avg_diff', 'trank_adjO_diff', 'def_eff_r10_diff']
  [530] win=76.4% bets=450 ROI=+47.9%  ['home', 'massey_avg_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [531] win=77.0% bets=444 ROI=+49.0%  ['home', 'massey_avg_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [532] win=77.4% bets=469 ROI=+49.7%  ['home', 'massey_avg_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [533] win=55.1% bets=334 ROI=+6.5%  ['home', 'margin_mean_diff', 'barthag_diff', 'sos_diff']
  [534] win=53.8% bets=327 ROI=+4.5%  ['home', 'margin_mean_diff', 'barthag_diff', 'conf_elo_diff']
  [535] win=54.0% bets=359 ROI=+4.7%  ['home', 'margin_mean_diff', 'barthag_diff', 'trank_adjO_diff']
  [536] win=53.6% bets=362 ROI=+3.9%  ['home', 'margin_mean_diff', 'barthag_diff', 'trank_adjD_diff']
  [537] win=56.5% bets=356 ROI=+9.5%  ['home', 'margin_mean_diff', 'barthag_diff', 'off_eff_r10_diff']
  [538] win=55.8% bets=353 ROI=+8.2%  ['home', 'margin_mean_diff', 'barthag_diff', 'def_eff_r10_diff']
  [539] win=50.9% bets=342 ROI=-1.3%  ['home', 'margin_mean_diff', 'sos_diff', 'conf_elo_diff']
  [540] win=55.8% bets=346 ROI=+7.8%  ['home', 'margin_mean_diff', 'sos_diff', 'trank_adjO_diff']
  [541] win=53.7% bets=367 ROI=+3.6%  ['home', 'margin_mean_diff', 'sos_diff', 'trank_adjD_diff']
  [542] win=53.8% bets=368 ROI=+4.4%  ['home', 'margin_mean_diff', 'sos_diff', 'off_eff_r10_diff']
  [543] win=53.1% bets=367 ROI=+3.0%  ['home', 'margin_mean_diff', 'sos_diff', 'def_eff_r10_diff']
  [544] win=51.6% bets=368 ROI=+0.1%  ['home', 'margin_mean_diff', 'conf_elo_diff', 'trank_adjO_diff']
