Total configs: 1651
Building features...
Loading ML odds...
  [550] win=53.9% bets=414 ROI=+4.4%  ['home', 'margin_mean_diff', 'trank_adjO_diff', 'def_eff_r10_diff']
  [551] win=53.2% bets=415 ROI=+3.0%  ['home', 'margin_mean_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [552] win=52.6% bets=407 ROI=+1.7%  ['home', 'margin_mean_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [553] win=52.6% bets=430 ROI=+1.8%  ['home', 'margin_mean_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [554] win=54.4% bets=456 ROI=+5.6%  ['home', 'barthag_diff', 'sos_diff', 'conf_elo_diff']
  [555] win=57.0% bets=488 ROI=+10.5%  ['home', 'barthag_diff', 'sos_diff', 'trank_adjO_diff']
  [556] win=57.4% bets=486 ROI=+11.3%  ['home', 'barthag_diff', 'sos_diff', 'trank_adjD_diff']
  [557] win=58.8% bets=439 ROI=+13.8%  ['home', 'barthag_diff', 'sos_diff', 'off_eff_r10_diff']
  [558] win=54.8% bets=502 ROI=+6.1%  ['home', 'barthag_diff', 'sos_diff', 'def_eff_r10_diff']
  [559] win=55.4% bets=448 ROI=+7.7%  ['home', 'barthag_diff', 'conf_elo_diff', 'trank_adjO_diff']
  [560] win=54.3% bets=444 ROI=+5.5%  ['home', 'barthag_diff', 'conf_elo_diff', 'trank_adjD_diff']
  [561] win=59.6% bets=406 ROI=+15.3%  ['home', 'barthag_diff', 'conf_elo_diff', 'off_eff_r10_diff']
  [562] win=54.3% bets=449 ROI=+5.5%  ['home', 'barthag_diff', 'conf_elo_diff', 'def_eff_r10_diff']
  [563] win=57.8% bets=491 ROI=+12.2%  ['home', 'barthag_diff', 'trank_adjO_diff', 'trank_adjD_diff']
  [564] win=56.9% bets=452 ROI=+10.0%  ['home', 'barthag_diff', 'trank_adjO_diff', 'off_eff_r10_diff']
  [565] win=55.1% bets=490 ROI=+7.0%  ['home', 'barthag_diff', 'trank_adjO_diff', 'def_eff_r10_diff']
  [566] win=58.3% bets=441 ROI=+12.6%  ['home', 'barthag_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [567] win=55.4% bets=498 ROI=+7.5%  ['home', 'barthag_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [568] win=56.0% bets=343 ROI=+8.2%  ['home', 'barthag_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [569] win=54.0% bets=474 ROI=+4.9%  ['home', 'sos_diff', 'conf_elo_diff', 'trank_adjO_diff']
  [570] win=53.6% bets=448 ROI=+4.3%  ['home', 'sos_diff', 'conf_elo_diff', 'trank_adjD_diff']
  [571] win=56.4% bets=449 ROI=+9.1%  ['home', 'sos_diff', 'conf_elo_diff', 'off_eff_r10_diff']
  [572] win=50.7% bets=458 ROI=-1.7%  ['home', 'sos_diff', 'conf_elo_diff', 'def_eff_r10_diff']
  [573] win=58.3% bets=489 ROI=+13.0%  ['home', 'sos_diff', 'trank_adjO_diff', 'trank_adjD_diff']
  [574] win=58.0% bets=500 ROI=+12.5%  ['home', 'sos_diff', 'trank_adjO_diff', 'off_eff_r10_diff']
  [575] win=53.7% bets=521 ROI=+4.1%  ['home', 'sos_diff', 'trank_adjO_diff', 'def_eff_r10_diff']
  [576] win=57.8% bets=483 ROI=+11.8%  ['home', 'sos_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [577] win=51.4% bets=547 ROI=-0.5%  ['home', 'sos_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [578] win=52.2% bets=368 ROI=+0.9%  ['home', 'sos_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [579] win=54.5% bets=448 ROI=+5.9%  ['home', 'conf_elo_diff', 'trank_adjO_diff', 'trank_adjD_diff']
  [580] win=55.9% bets=460 ROI=+8.4%  ['home', 'conf_elo_diff', 'trank_adjO_diff', 'off_eff_r10_diff']
  [581] win=53.1% bets=469 ROI=+3.0%  ['home', 'conf_elo_diff', 'trank_adjO_diff', 'def_eff_r10_diff']
  [582] win=57.2% bets=453 ROI=+10.8%  ['home', 'conf_elo_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [583] win=50.4% bets=474 ROI=-2.1%  ['home', 'conf_elo_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [584] win=53.6% bets=371 ROI=+4.0%  ['home', 'conf_elo_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [585] win=58.3% bets=432 ROI=+12.8%  ['home', 'trank_adjO_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [586] win=54.4% bets=483 ROI=+5.7%  ['home', 'trank_adjO_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [587] win=57.2% bets=404 ROI=+10.6%  ['home', 'trank_adjO_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [588] win=51.7% bets=412 ROI=+0.2%  ['home', 'trank_adjD_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [589] win=65.3% bets=750 ROI=+26.7%  ['massey_avg_diff', 'margin_mean_diff', 'barthag_diff', 'sos_diff']
  [590] win=65.1% bets=725 ROI=+26.2%  ['massey_avg_diff', 'margin_mean_diff', 'barthag_diff', 'conf_elo_diff']
  [591] win=65.1% bets=748 ROI=+26.2%  ['massey_avg_diff', 'margin_mean_diff', 'barthag_diff', 'trank_adjO_diff']
  [592] win=64.8% bets=738 ROI=+25.5%  ['massey_avg_diff', 'margin_mean_diff', 'barthag_diff', 'trank_adjD_diff']
  [593] win=65.1% bets=745 ROI=+26.2%  ['massey_avg_diff', 'margin_mean_diff', 'barthag_diff', 'off_eff_r10_diff']
  [594] win=65.0% bets=746 ROI=+26.0%  ['massey_avg_diff', 'margin_mean_diff', 'barthag_diff', 'def_eff_r10_diff']
  [595] win=65.6% bets=726 ROI=+27.1%  ['massey_avg_diff', 'margin_mean_diff', 'sos_diff', 'conf_elo_diff']
  [596] win=65.6% bets=753 ROI=+27.2%  ['massey_avg_diff', 'margin_mean_diff', 'sos_diff', 'trank_adjO_diff']
  [597] win=65.5% bets=743 ROI=+27.1%  ['massey_avg_diff', 'margin_mean_diff', 'sos_diff', 'trank_adjD_diff']
