Total configs: 1651
Building features...
Loading ML odds...
  [600] win=65.1% bets=720 ROI=+26.3%  ['massey_avg_diff', 'margin_mean_diff', 'conf_elo_diff', 'trank_adjO_diff']
  [601] win=65.0% bets=720 ROI=+26.0%  ['massey_avg_diff', 'margin_mean_diff', 'conf_elo_diff', 'trank_adjD_diff']
  [602] win=65.0% bets=718 ROI=+26.1%  ['massey_avg_diff', 'margin_mean_diff', 'conf_elo_diff', 'off_eff_r10_diff']
  [603] win=65.2% bets=724 ROI=+26.4%  ['massey_avg_diff', 'margin_mean_diff', 'conf_elo_diff', 'def_eff_r10_diff']
  [604] win=65.0% bets=736 ROI=+25.9%  ['massey_avg_diff', 'margin_mean_diff', 'trank_adjO_diff', 'trank_adjD_diff']
  [605] win=65.2% bets=742 ROI=+26.4%  ['massey_avg_diff', 'margin_mean_diff', 'trank_adjO_diff', 'off_eff_r10_diff']
  [606] win=65.1% bets=749 ROI=+26.3%  ['massey_avg_diff', 'margin_mean_diff', 'trank_adjO_diff', 'def_eff_r10_diff']
  [607] win=64.9% bets=732 ROI=+25.8%  ['massey_avg_diff', 'margin_mean_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [608] win=64.6% bets=737 ROI=+25.1%  ['massey_avg_diff', 'margin_mean_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [609] win=65.0% bets=751 ROI=+25.9%  ['massey_avg_diff', 'margin_mean_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [610] win=65.3% bets=710 ROI=+26.8%  ['massey_avg_diff', 'barthag_diff', 'sos_diff', 'conf_elo_diff']
  [611] win=65.0% bets=738 ROI=+26.2%  ['massey_avg_diff', 'barthag_diff', 'sos_diff', 'trank_adjO_diff']
  [612] win=65.0% bets=740 ROI=+26.1%  ['massey_avg_diff', 'barthag_diff', 'sos_diff', 'trank_adjD_diff']
  [613] win=64.4% bets=738 ROI=+24.8%  ['massey_avg_diff', 'barthag_diff', 'sos_diff', 'off_eff_r10_diff']
  [614] win=64.8% bets=744 ROI=+25.6%  ['massey_avg_diff', 'barthag_diff', 'sos_diff', 'def_eff_r10_diff']
  [615] win=65.3% bets=715 ROI=+26.7%  ['massey_avg_diff', 'barthag_diff', 'conf_elo_diff', 'trank_adjO_diff']
  [616] win=65.8% bets=713 ROI=+27.6%  ['massey_avg_diff', 'barthag_diff', 'conf_elo_diff', 'trank_adjD_diff']
  [617] win=65.5% bets=714 ROI=+27.1%  ['massey_avg_diff', 'barthag_diff', 'conf_elo_diff', 'off_eff_r10_diff']
  [618] win=64.9% bets=732 ROI=+25.8%  ['massey_avg_diff', 'barthag_diff', 'conf_elo_diff', 'def_eff_r10_diff']
  [619] win=64.5% bets=757 ROI=+25.0%  ['massey_avg_diff', 'barthag_diff', 'trank_adjO_diff', 'trank_adjD_diff']
  [620] win=65.1% bets=740 ROI=+26.3%  ['massey_avg_diff', 'barthag_diff', 'trank_adjO_diff', 'off_eff_r10_diff']
  [621] win=64.7% bets=747 ROI=+25.4%  ['massey_avg_diff', 'barthag_diff', 'trank_adjO_diff', 'def_eff_r10_diff']
  [622] win=64.7% bets=742 ROI=+25.4%  ['massey_avg_diff', 'barthag_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [623] win=64.6% bets=745 ROI=+25.2%  ['massey_avg_diff', 'barthag_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [624] win=64.8% bets=750 ROI=+25.6%  ['massey_avg_diff', 'barthag_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [625] win=65.7% bets=709 ROI=+27.5%  ['massey_avg_diff', 'sos_diff', 'conf_elo_diff', 'trank_adjO_diff']
  [626] win=65.9% bets=704 ROI=+27.8%  ['massey_avg_diff', 'sos_diff', 'conf_elo_diff', 'trank_adjD_diff']
  [627] win=65.9% bets=713 ROI=+27.8%  ['massey_avg_diff', 'sos_diff', 'conf_elo_diff', 'off_eff_r10_diff']
  [628] win=64.7% bets=731 ROI=+25.4%  ['massey_avg_diff', 'sos_diff', 'conf_elo_diff', 'def_eff_r10_diff']
  [629] win=65.1% bets=733 ROI=+26.2%  ['massey_avg_diff', 'sos_diff', 'trank_adjO_diff', 'trank_adjD_diff']
  [630] win=64.8% bets=738 ROI=+25.6%  ['massey_avg_diff', 'sos_diff', 'trank_adjO_diff', 'off_eff_r10_diff']
  [631] win=64.6% bets=743 ROI=+25.3%  ['massey_avg_diff', 'sos_diff', 'trank_adjO_diff', 'def_eff_r10_diff']
  [632] win=64.9% bets=743 ROI=+25.8%  ['massey_avg_diff', 'sos_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [633] win=64.7% bets=747 ROI=+25.4%  ['massey_avg_diff', 'sos_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [634] win=65.5% bets=750 ROI=+27.0%  ['massey_avg_diff', 'sos_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [635] win=65.9% bets=707 ROI=+27.9%  ['massey_avg_diff', 'conf_elo_diff', 'trank_adjO_diff', 'trank_adjD_diff']
  [636] win=66.6% bets=709 ROI=+29.1%  ['massey_avg_diff', 'conf_elo_diff', 'trank_adjO_diff', 'off_eff_r10_diff']
  [637] win=64.8% bets=732 ROI=+25.6%  ['massey_avg_diff', 'conf_elo_diff', 'trank_adjO_diff', 'def_eff_r10_diff']
  [638] win=66.1% bets=708 ROI=+28.1%  ['massey_avg_diff', 'conf_elo_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [639] win=64.6% bets=717 ROI=+25.2%  ['massey_avg_diff', 'conf_elo_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [640] win=65.0% bets=728 ROI=+25.9%  ['massey_avg_diff', 'conf_elo_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [641] win=65.0% bets=743 ROI=+26.1%  ['massey_avg_diff', 'trank_adjO_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [642] win=64.7% bets=742 ROI=+25.4%  ['massey_avg_diff', 'trank_adjO_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [643] win=65.2% bets=748 ROI=+26.4%  ['massey_avg_diff', 'trank_adjO_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [644] win=65.0% bets=742 ROI=+25.8%  ['massey_avg_diff', 'trank_adjD_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
