Total configs: 1651
Building features...
Loading ML odds...
  [650] win=49.0% bets=451 ROI=-5.2%  ['margin_mean_diff', 'barthag_diff', 'conf_elo_diff', 'trank_adjO_diff']
  [651] win=49.2% bets=453 ROI=-4.8%  ['margin_mean_diff', 'barthag_diff', 'conf_elo_diff', 'trank_adjD_diff']
  [652] win=49.1% bets=460 ROI=-4.8%  ['margin_mean_diff', 'barthag_diff', 'conf_elo_diff', 'off_eff_r10_diff']
  [653] win=49.1% bets=456 ROI=-4.9%  ['margin_mean_diff', 'barthag_diff', 'conf_elo_diff', 'def_eff_r10_diff']
  [654] win=48.2% bets=479 ROI=-6.7%  ['margin_mean_diff', 'barthag_diff', 'trank_adjO_diff', 'trank_adjD_diff']
  [655] win=49.9% bets=485 ROI=-3.5%  ['margin_mean_diff', 'barthag_diff', 'trank_adjO_diff', 'off_eff_r10_diff']
  [656] win=48.9% bets=485 ROI=-5.4%  ['margin_mean_diff', 'barthag_diff', 'trank_adjO_diff', 'def_eff_r10_diff']
  [657] win=48.8% bets=490 ROI=-5.6%  ['margin_mean_diff', 'barthag_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [658] win=48.8% bets=482 ROI=-5.7%  ['margin_mean_diff', 'barthag_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [659] win=49.4% bets=484 ROI=-4.5%  ['margin_mean_diff', 'barthag_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [660] win=49.9% bets=465 ROI=-3.4%  ['margin_mean_diff', 'sos_diff', 'conf_elo_diff', 'trank_adjO_diff']
  [661] win=48.3% bets=478 ROI=-6.3%  ['margin_mean_diff', 'sos_diff', 'conf_elo_diff', 'trank_adjD_diff']
  [662] win=49.7% bets=475 ROI=-3.6%  ['margin_mean_diff', 'sos_diff', 'conf_elo_diff', 'off_eff_r10_diff']
  [663] win=50.4% bets=472 ROI=-2.2%  ['margin_mean_diff', 'sos_diff', 'conf_elo_diff', 'def_eff_r10_diff']
  [664] win=49.6% bets=512 ROI=-4.0%  ['margin_mean_diff', 'sos_diff', 'trank_adjO_diff', 'trank_adjD_diff']
  [665] win=49.5% bets=497 ROI=-4.1%  ['margin_mean_diff', 'sos_diff', 'trank_adjO_diff', 'off_eff_r10_diff']
  [666] win=49.5% bets=501 ROI=-4.1%  ['margin_mean_diff', 'sos_diff', 'trank_adjO_diff', 'def_eff_r10_diff']
  [667] win=48.8% bets=541 ROI=-5.4%  ['margin_mean_diff', 'sos_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [668] win=49.5% bets=541 ROI=-4.0%  ['margin_mean_diff', 'sos_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [669] win=47.9% bets=509 ROI=-6.9%  ['margin_mean_diff', 'sos_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [670] win=49.1% bets=452 ROI=-5.0%  ['margin_mean_diff', 'conf_elo_diff', 'trank_adjO_diff', 'trank_adjD_diff']
  [671] win=51.3% bets=460 ROI=-0.7%  ['margin_mean_diff', 'conf_elo_diff', 'trank_adjO_diff', 'off_eff_r10_diff']
  [672] win=50.2% bets=458 ROI=-2.8%  ['margin_mean_diff', 'conf_elo_diff', 'trank_adjO_diff', 'def_eff_r10_diff']
  [673] win=48.6% bets=475 ROI=-6.0%  ['margin_mean_diff', 'conf_elo_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [674] win=48.0% bets=471 ROI=-7.3%  ['margin_mean_diff', 'conf_elo_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [675] win=48.3% bets=441 ROI=-6.4%  ['margin_mean_diff', 'conf_elo_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [676] win=47.9% bets=480 ROI=-7.2%  ['margin_mean_diff', 'trank_adjO_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [677] win=48.2% bets=477 ROI=-6.6%  ['margin_mean_diff', 'trank_adjO_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [678] win=50.3% bets=475 ROI=-2.6%  ['margin_mean_diff', 'trank_adjO_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [679] win=48.4% bets=514 ROI=-6.4%  ['margin_mean_diff', 'trank_adjD_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [680] win=53.7% bets=365 ROI=+4.0%  ['barthag_diff', 'sos_diff', 'conf_elo_diff', 'trank_adjO_diff']
  [681] win=54.3% bets=372 ROI=+5.3%  ['barthag_diff', 'sos_diff', 'conf_elo_diff', 'trank_adjD_diff']
  [682] win=52.2% bets=437 ROI=+0.9%  ['barthag_diff', 'sos_diff', 'conf_elo_diff', 'off_eff_r10_diff']
  [683] win=49.8% bets=450 ROI=-3.4%  ['barthag_diff', 'sos_diff', 'conf_elo_diff', 'def_eff_r10_diff']
  [684] win=53.6% bets=384 ROI=+3.9%  ['barthag_diff', 'sos_diff', 'trank_adjO_diff', 'trank_adjD_diff']
  [685] win=51.2% bets=494 ROI=-0.8%  ['barthag_diff', 'sos_diff', 'trank_adjO_diff', 'off_eff_r10_diff']
  [686] win=49.3% bets=489 ROI=-4.4%  ['barthag_diff', 'sos_diff', 'trank_adjO_diff', 'def_eff_r10_diff']
  [687] win=52.6% bets=498 ROI=+2.0%  ['barthag_diff', 'sos_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
