Total configs: 1651
Building features...
Loading ML odds...
  [750] win=54.7% bets=212 ROI=+6.2%  ['elo_diff', 'elo_pred', 'home', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [751] win=65.5% bets=725 ROI=+27.1%  ['elo_diff', 'elo_pred', 'massey_avg_diff', 'margin_mean_diff', 'barthag_diff']
  [752] win=66.2% bets=718 ROI=+28.3%  ['elo_diff', 'elo_pred', 'massey_avg_diff', 'margin_mean_diff', 'sos_diff']
  [753] win=65.8% bets=729 ROI=+27.6%  ['elo_diff', 'elo_pred', 'massey_avg_diff', 'margin_mean_diff', 'conf_elo_diff']
  [754] win=65.5% bets=725 ROI=+27.0%  ['elo_diff', 'elo_pred', 'massey_avg_diff', 'margin_mean_diff', 'trank_adjO_diff']
  [755] win=65.9% bets=725 ROI=+27.9%  ['elo_diff', 'elo_pred', 'massey_avg_diff', 'margin_mean_diff', 'trank_adjD_diff']
  [756] win=65.7% bets=718 ROI=+27.5%  ['elo_diff', 'elo_pred', 'massey_avg_diff', 'margin_mean_diff', 'off_eff_r10_diff']
  [757] win=66.1% bets=719 ROI=+28.1%  ['elo_diff', 'elo_pred', 'massey_avg_diff', 'margin_mean_diff', 'def_eff_r10_diff']
  [758] win=66.3% bets=721 ROI=+28.6%  ['elo_diff', 'elo_pred', 'massey_avg_diff', 'barthag_diff', 'sos_diff']
  [759] win=66.9% bets=726 ROI=+29.8%  ['elo_diff', 'elo_pred', 'massey_avg_diff', 'barthag_diff', 'conf_elo_diff']
  [760] win=66.8% bets=715 ROI=+29.7%  ['elo_diff', 'elo_pred', 'massey_avg_diff', 'barthag_diff', 'trank_adjO_diff']
  [761] win=66.3% bets=724 ROI=+28.5%  ['elo_diff', 'elo_pred', 'massey_avg_diff', 'barthag_diff', 'trank_adjD_diff']
  [762] win=66.2% bets=716 ROI=+28.4%  ['elo_diff', 'elo_pred', 'massey_avg_diff', 'barthag_diff', 'off_eff_r10_diff']
  [763] win=66.2% bets=719 ROI=+28.4%  ['elo_diff', 'elo_pred', 'massey_avg_diff', 'barthag_diff', 'def_eff_r10_diff']
  [764] win=66.3% bets=728 ROI=+28.6%  ['elo_diff', 'elo_pred', 'massey_avg_diff', 'sos_diff', 'conf_elo_diff']
  [765] win=66.4% bets=718 ROI=+28.8%  ['elo_diff', 'elo_pred', 'massey_avg_diff', 'sos_diff', 'trank_adjO_diff']
  [766] win=66.4% bets=723 ROI=+28.7%  ['elo_diff', 'elo_pred', 'massey_avg_diff', 'sos_diff', 'trank_adjD_diff']
  [767] win=66.7% bets=714 ROI=+29.3%  ['elo_diff', 'elo_pred', 'massey_avg_diff', 'sos_diff', 'off_eff_r10_diff']
  [768] win=66.1% bets=723 ROI=+28.2%  ['elo_diff', 'elo_pred', 'massey_avg_diff', 'sos_diff', 'def_eff_r10_diff']
