Total configs: 1651
Building features...
Loading ML odds...
  [800] win=49.4% bets=464 ROI=-4.3%  ['elo_diff', 'elo_pred', 'barthag_diff', 'sos_diff', 'conf_elo_diff']
  [801] win=50.0% bets=466 ROI=-3.1%  ['elo_diff', 'elo_pred', 'barthag_diff', 'sos_diff', 'trank_adjO_diff']
  [802] win=50.3% bets=469 ROI=-2.5%  ['elo_diff', 'elo_pred', 'barthag_diff', 'sos_diff', 'trank_adjD_diff']
  [803] win=51.3% bets=481 ROI=-0.5%  ['elo_diff', 'elo_pred', 'barthag_diff', 'sos_diff', 'off_eff_r10_diff']
  [804] win=49.3% bets=479 ROI=-4.7%  ['elo_diff', 'elo_pred', 'barthag_diff', 'sos_diff', 'def_eff_r10_diff']
  [805] win=49.8% bets=464 ROI=-3.5%  ['elo_diff', 'elo_pred', 'barthag_diff', 'conf_elo_diff', 'trank_adjO_diff']
  [806] win=49.8% bets=470 ROI=-3.5%  ['elo_diff', 'elo_pred', 'barthag_diff', 'conf_elo_diff', 'trank_adjD_diff']
  [807] win=51.9% bets=484 ROI=+0.6%  ['elo_diff', 'elo_pred', 'barthag_diff', 'conf_elo_diff', 'off_eff_r10_diff']
  [808] win=50.1% bets=461 ROI=-3.0%  ['elo_diff', 'elo_pred', 'barthag_diff', 'conf_elo_diff', 'def_eff_r10_diff']
  [809] win=49.8% bets=464 ROI=-3.6%  ['elo_diff', 'elo_pred', 'barthag_diff', 'trank_adjO_diff', 'trank_adjD_diff']
  [810] win=51.5% bets=476 ROI=-0.2%  ['elo_diff', 'elo_pred', 'barthag_diff', 'trank_adjO_diff', 'off_eff_r10_diff']
  [811] win=49.6% bets=470 ROI=-4.1%  ['elo_diff', 'elo_pred', 'barthag_diff', 'trank_adjO_diff', 'def_eff_r10_diff']
  [812] win=51.3% bets=470 ROI=-0.6%  ['elo_diff', 'elo_pred', 'barthag_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [813] win=49.2% bets=469 ROI=-4.7%  ['elo_diff', 'elo_pred', 'barthag_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [814] win=50.8% bets=455 ROI=-1.7%  ['elo_diff', 'elo_pred', 'barthag_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [815] win=49.8% bets=470 ROI=-3.5%  ['elo_diff', 'elo_pred', 'sos_diff', 'conf_elo_diff', 'trank_adjO_diff']
  [816] win=49.6% bets=472 ROI=-4.0%  ['elo_diff', 'elo_pred', 'sos_diff', 'conf_elo_diff', 'trank_adjD_diff']
  [817] win=52.2% bets=488 ROI=+1.3%  ['elo_diff', 'elo_pred', 'sos_diff', 'conf_elo_diff', 'off_eff_r10_diff']
  [818] win=49.2% bets=480 ROI=-4.8%  ['elo_diff', 'elo_pred', 'sos_diff', 'conf_elo_diff', 'def_eff_r10_diff']
  [819] win=50.1% bets=465 ROI=-2.9%  ['elo_diff', 'elo_pred', 'sos_diff', 'trank_adjO_diff', 'trank_adjD_diff']
  [820] win=51.8% bets=481 ROI=+0.4%  ['elo_diff', 'elo_pred', 'sos_diff', 'trank_adjO_diff', 'off_eff_r10_diff']
