Total configs: 1651
Building features...
Loading ML odds...
  [850] win=76.1% bets=486 ROI=+47.4%  ['elo_diff', 'home', 'massey_avg_diff', 'sos_diff', 'trank_adjD_diff']
  [851] win=76.7% bets=493 ROI=+48.3%  ['elo_diff', 'home', 'massey_avg_diff', 'sos_diff', 'off_eff_r10_diff']
  [852] win=77.5% bets=488 ROI=+49.9%  ['elo_diff', 'home', 'massey_avg_diff', 'sos_diff', 'def_eff_r10_diff']
  [853] win=76.9% bets=507 ROI=+48.9%  ['elo_diff', 'home', 'massey_avg_diff', 'conf_elo_diff', 'trank_adjO_diff']
  [854] win=76.4% bets=508 ROI=+47.8%  ['elo_diff', 'home', 'massey_avg_diff', 'conf_elo_diff', 'trank_adjD_diff']
  [855] win=77.2% bets=504 ROI=+49.4%  ['elo_diff', 'home', 'massey_avg_diff', 'conf_elo_diff', 'off_eff_r10_diff']
  [856] win=77.1% bets=503 ROI=+49.2%  ['elo_diff', 'home', 'massey_avg_diff', 'conf_elo_diff', 'def_eff_r10_diff']
  [857] win=77.1% bets=489 ROI=+49.2%  ['elo_diff', 'home', 'massey_avg_diff', 'trank_adjO_diff', 'trank_adjD_diff']
  [858] win=76.9% bets=497 ROI=+48.7%  ['elo_diff', 'home', 'massey_avg_diff', 'trank_adjO_diff', 'off_eff_r10_diff']
  [859] win=76.9% bets=497 ROI=+48.7%  ['elo_diff', 'home', 'massey_avg_diff', 'trank_adjO_diff', 'def_eff_r10_diff']
  [860] win=75.7% bets=489 ROI=+46.5%  ['elo_diff', 'home', 'massey_avg_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [861] win=76.3% bets=485 ROI=+47.8%  ['elo_diff', 'home', 'massey_avg_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [862] win=77.1% bets=497 ROI=+49.1%  ['elo_diff', 'home', 'massey_avg_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [863] win=52.3% bets=195 ROI=+1.7%  ['elo_diff', 'home', 'margin_mean_diff', 'barthag_diff', 'sos_diff']
  [864] win=54.4% bets=228 ROI=+5.1%  ['elo_diff', 'home', 'margin_mean_diff', 'barthag_diff', 'conf_elo_diff']
  [865] win=53.5% bets=226 ROI=+3.5%  ['elo_diff', 'home', 'margin_mean_diff', 'barthag_diff', 'trank_adjO_diff']
  [866] win=53.6% bets=224 ROI=+3.6%  ['elo_diff', 'home', 'margin_mean_diff', 'barthag_diff', 'trank_adjD_diff']
  [867] win=55.5% bets=220 ROI=+7.5%  ['elo_diff', 'home', 'margin_mean_diff', 'barthag_diff', 'off_eff_r10_diff']
  [868] win=53.8% bets=223 ROI=+4.3%  ['elo_diff', 'home', 'margin_mean_diff', 'barthag_diff', 'def_eff_r10_diff']
  [869] win=53.5% bets=198 ROI=+4.0%  ['elo_diff', 'home', 'margin_mean_diff', 'sos_diff', 'conf_elo_diff']
  [870] win=55.2% bets=201 ROI=+7.2%  ['elo_diff', 'home', 'margin_mean_diff', 'sos_diff', 'trank_adjO_diff']
  [871] win=53.4% bets=191 ROI=+3.9%  ['elo_diff', 'home', 'margin_mean_diff', 'sos_diff', 'trank_adjD_diff']
  [872] win=53.6% bets=194 ROI=+4.1%  ['elo_diff', 'home', 'margin_mean_diff', 'sos_diff', 'off_eff_r10_diff']
  [873] win=52.8% bets=195 ROI=+2.5%  ['elo_diff', 'home', 'margin_mean_diff', 'sos_diff', 'def_eff_r10_diff']
  [874] win=54.5% bets=224 ROI=+5.3%  ['elo_diff', 'home', 'margin_mean_diff', 'conf_elo_diff', 'trank_adjO_diff']
  [875] win=53.8% bets=234 ROI=+4.1%  ['elo_diff', 'home', 'margin_mean_diff', 'conf_elo_diff', 'trank_adjD_diff']
  [876] win=56.0% bets=225 ROI=+8.4%  ['elo_diff', 'home', 'margin_mean_diff', 'conf_elo_diff', 'off_eff_r10_diff']
  [877] win=55.1% bets=225 ROI=+6.6%  ['elo_diff', 'home', 'margin_mean_diff', 'conf_elo_diff', 'def_eff_r10_diff']
  [878] win=53.5% bets=226 ROI=+3.5%  ['elo_diff', 'home', 'margin_mean_diff', 'trank_adjO_diff', 'trank_adjD_diff']
  [879] win=54.9% bets=222 ROI=+6.6%  ['elo_diff', 'home', 'margin_mean_diff', 'trank_adjO_diff', 'off_eff_r10_diff']
  [880] win=54.4% bets=226 ROI=+5.4%  ['elo_diff', 'home', 'margin_mean_diff', 'trank_adjO_diff', 'def_eff_r10_diff']
  [881] win=55.7% bets=219 ROI=+8.0%  ['elo_diff', 'home', 'margin_mean_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [882] win=53.4% bets=223 ROI=+3.4%  ['elo_diff', 'home', 'margin_mean_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [883] win=54.5% bets=224 ROI=+5.5%  ['elo_diff', 'home', 'margin_mean_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [884] win=53.9% bets=245 ROI=+4.2%  ['elo_diff', 'home', 'barthag_diff', 'sos_diff', 'conf_elo_diff']
  [885] win=53.4% bets=249 ROI=+3.3%  ['elo_diff', 'home', 'barthag_diff', 'sos_diff', 'trank_adjO_diff']
  [886] win=52.8% bets=246 ROI=+2.2%  ['elo_diff', 'home', 'barthag_diff', 'sos_diff', 'trank_adjD_diff']
  [887] win=61.8% bets=220 ROI=+19.6%  ['elo_diff', 'home', 'barthag_diff', 'sos_diff', 'off_eff_r10_diff']
  [888] win=54.8% bets=241 ROI=+5.8%  ['elo_diff', 'home', 'barthag_diff', 'sos_diff', 'def_eff_r10_diff']
  [889] win=54.8% bets=250 ROI=+6.0%  ['elo_diff', 'home', 'barthag_diff', 'conf_elo_diff', 'trank_adjO_diff']
  [890] win=54.8% bets=252 ROI=+6.0%  ['elo_diff', 'home', 'barthag_diff', 'conf_elo_diff', 'trank_adjD_diff']
  [891] win=58.3% bets=228 ROI=+13.1%  ['elo_diff', 'home', 'barthag_diff', 'conf_elo_diff', 'off_eff_r10_diff']
  [892] win=55.1% bets=247 ROI=+6.4%  ['elo_diff', 'home', 'barthag_diff', 'conf_elo_diff', 'def_eff_r10_diff']
  [893] win=54.5% bets=246 ROI=+5.3%  ['elo_diff', 'home', 'barthag_diff', 'trank_adjO_diff', 'trank_adjD_diff']
  [894] win=57.3% bets=220 ROI=+11.1%  ['elo_diff', 'home', 'barthag_diff', 'trank_adjO_diff', 'off_eff_r10_diff']
  [895] win=54.8% bets=241 ROI=+5.8%  ['elo_diff', 'home', 'barthag_diff', 'trank_adjO_diff', 'def_eff_r10_diff']
  [896] win=58.1% bets=222 ROI=+12.8%  ['elo_diff', 'home', 'barthag_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [897] win=55.8% bets=242 ROI=+7.7%  ['elo_diff', 'home', 'barthag_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [898] win=55.6% bets=216 ROI=+7.8%  ['elo_diff', 'home', 'barthag_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [899] win=54.3% bets=245 ROI=+4.9%  ['elo_diff', 'home', 'sos_diff', 'conf_elo_diff', 'trank_adjO_diff']
