Total configs: 1651
Building features...
Loading ML odds...
  [900] win=54.2% bets=247 ROI=+4.9%  ['elo_diff', 'home', 'sos_diff', 'conf_elo_diff', 'trank_adjD_diff']
  [901] win=61.2% bets=219 ROI=+18.4%  ['elo_diff', 'home', 'sos_diff', 'conf_elo_diff', 'off_eff_r10_diff']
  [902] win=54.9% bets=244 ROI=+6.2%  ['elo_diff', 'home', 'sos_diff', 'conf_elo_diff', 'def_eff_r10_diff']
  [903] win=53.7% bets=246 ROI=+3.8%  ['elo_diff', 'home', 'sos_diff', 'trank_adjO_diff', 'trank_adjD_diff']
  [904] win=60.3% bets=219 ROI=+16.7%  ['elo_diff', 'home', 'sos_diff', 'trank_adjO_diff', 'off_eff_r10_diff']
  [905] win=54.2% bets=240 ROI=+4.6%  ['elo_diff', 'home', 'sos_diff', 'trank_adjO_diff', 'def_eff_r10_diff']
  [906] win=61.0% bets=213 ROI=+18.0%  ['elo_diff', 'home', 'sos_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [907] win=55.4% bets=240 ROI=+7.1%  ['elo_diff', 'home', 'sos_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [908] win=53.7% bets=188 ROI=+4.3%  ['elo_diff', 'home', 'sos_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [909] win=54.0% bets=252 ROI=+4.4%  ['elo_diff', 'home', 'conf_elo_diff', 'trank_adjO_diff', 'trank_adjD_diff']
  [910] win=58.6% bets=232 ROI=+13.6%  ['elo_diff', 'home', 'conf_elo_diff', 'trank_adjO_diff', 'off_eff_r10_diff']
  [911] win=54.9% bets=246 ROI=+6.0%  ['elo_diff', 'home', 'conf_elo_diff', 'trank_adjO_diff', 'def_eff_r10_diff']
  [912] win=57.7% bets=227 ROI=+11.8%  ['elo_diff', 'home', 'conf_elo_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [913] win=55.3% bets=246 ROI=+6.8%  ['elo_diff', 'home', 'conf_elo_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
