Total configs: 1651
Building features...
Loading ML odds...
  [950] win=65.7% bets=744 ROI=+27.5%  ['elo_diff', 'massey_avg_diff', 'barthag_diff', 'trank_adjO_diff', 'off_eff_r10_diff']
  [951] win=65.8% bets=754 ROI=+27.5%  ['elo_diff', 'massey_avg_diff', 'barthag_diff', 'trank_adjO_diff', 'def_eff_r10_diff']
  [952] win=65.5% bets=744 ROI=+26.9%  ['elo_diff', 'massey_avg_diff', 'barthag_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [953] win=65.3% bets=750 ROI=+26.6%  ['elo_diff', 'massey_avg_diff', 'barthag_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [954] win=65.3% bets=756 ROI=+26.7%  ['elo_diff', 'massey_avg_diff', 'barthag_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [955] win=65.9% bets=739 ROI=+27.7%  ['elo_diff', 'massey_avg_diff', 'sos_diff', 'conf_elo_diff', 'trank_adjO_diff']
  [956] win=65.9% bets=741 ROI=+27.6%  ['elo_diff', 'massey_avg_diff', 'sos_diff', 'conf_elo_diff', 'trank_adjD_diff']
  [957] win=66.2% bets=736 ROI=+28.2%  ['elo_diff', 'massey_avg_diff', 'sos_diff', 'conf_elo_diff', 'off_eff_r10_diff']
  [958] win=65.5% bets=740 ROI=+27.0%  ['elo_diff', 'massey_avg_diff', 'sos_diff', 'conf_elo_diff', 'def_eff_r10_diff']
  [959] win=66.2% bets=742 ROI=+28.3%  ['elo_diff', 'massey_avg_diff', 'sos_diff', 'trank_adjO_diff', 'trank_adjD_diff']
  [960] win=65.7% bets=746 ROI=+27.4%  ['elo_diff', 'massey_avg_diff', 'sos_diff', 'trank_adjO_diff', 'off_eff_r10_diff']
  [961] win=65.1% bets=757 ROI=+26.3%  ['elo_diff', 'massey_avg_diff', 'sos_diff', 'trank_adjO_diff', 'def_eff_r10_diff']
  [962] win=65.7% bets=744 ROI=+27.4%  ['elo_diff', 'massey_avg_diff', 'sos_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [963] win=65.7% bets=755 ROI=+27.4%  ['elo_diff', 'massey_avg_diff', 'sos_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [964] win=65.5% bets=753 ROI=+27.0%  ['elo_diff', 'massey_avg_diff', 'sos_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [965] win=66.5% bets=741 ROI=+28.9%  ['elo_diff', 'massey_avg_diff', 'conf_elo_diff', 'trank_adjO_diff', 'trank_adjD_diff']
  [966] win=66.2% bets=739 ROI=+28.2%  ['elo_diff', 'massey_avg_diff', 'conf_elo_diff', 'trank_adjO_diff', 'off_eff_r10_diff']
  [967] win=66.0% bets=745 ROI=+27.9%  ['elo_diff', 'massey_avg_diff', 'conf_elo_diff', 'trank_adjO_diff', 'def_eff_r10_diff']
  [968] win=66.1% bets=741 ROI=+28.1%  ['elo_diff', 'massey_avg_diff', 'conf_elo_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [969] win=66.3% bets=745 ROI=+28.5%  ['elo_diff', 'massey_avg_diff', 'conf_elo_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [970] win=65.7% bets=738 ROI=+27.4%  ['elo_diff', 'massey_avg_diff', 'conf_elo_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [971] win=65.8% bets=745 ROI=+27.5%  ['elo_diff', 'massey_avg_diff', 'trank_adjO_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [972] win=66.0% bets=752 ROI=+27.8%  ['elo_diff', 'massey_avg_diff', 'trank_adjO_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [973] win=65.6% bets=750 ROI=+27.2%  ['elo_diff', 'massey_avg_diff', 'trank_adjO_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [974] win=65.7% bets=755 ROI=+27.3%  ['elo_diff', 'massey_avg_diff', 'trank_adjD_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [975] win=49.4% bets=492 ROI=-4.4%  ['elo_diff', 'margin_mean_diff', 'barthag_diff', 'sos_diff', 'conf_elo_diff']
  [976] win=50.0% bets=514 ROI=-3.3%  ['elo_diff', 'margin_mean_diff', 'barthag_diff', 'sos_diff', 'trank_adjO_diff']
  [977] win=50.0% bets=512 ROI=-3.2%  ['elo_diff', 'margin_mean_diff', 'barthag_diff', 'sos_diff', 'trank_adjD_diff']
  [978] win=50.8% bets=512 ROI=-1.9%  ['elo_diff', 'margin_mean_diff', 'barthag_diff', 'sos_diff', 'off_eff_r10_diff']
  [979] win=51.1% bets=511 ROI=-1.3%  ['elo_diff', 'margin_mean_diff', 'barthag_diff', 'sos_diff', 'def_eff_r10_diff']
  [980] win=50.9% bets=497 ROI=-1.5%  ['elo_diff', 'margin_mean_diff', 'barthag_diff', 'conf_elo_diff', 'trank_adjO_diff']
  [981] win=51.0% bets=496 ROI=-1.3%  ['elo_diff', 'margin_mean_diff', 'barthag_diff', 'conf_elo_diff', 'trank_adjD_diff']
  [982] win=51.9% bets=497 ROI=+0.3%  ['elo_diff', 'margin_mean_diff', 'barthag_diff', 'conf_elo_diff', 'off_eff_r10_diff']
  [983] win=52.0% bets=498 ROI=+0.5%  ['elo_diff', 'margin_mean_diff', 'barthag_diff', 'conf_elo_diff', 'def_eff_r10_diff']
  [984] win=50.7% bets=505 ROI=-1.9%  ['elo_diff', 'margin_mean_diff', 'barthag_diff', 'trank_adjO_diff', 'trank_adjD_diff']
  [985] win=49.8% bets=500 ROI=-3.6%  ['elo_diff', 'margin_mean_diff', 'barthag_diff', 'trank_adjO_diff', 'off_eff_r10_diff']
  [986] win=51.0% bets=508 ROI=-1.4%  ['elo_diff', 'margin_mean_diff', 'barthag_diff', 'trank_adjO_diff', 'def_eff_r10_diff']
  [987] win=50.3% bets=501 ROI=-2.6%  ['elo_diff', 'margin_mean_diff', 'barthag_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [988] win=50.4% bets=504 ROI=-2.5%  ['elo_diff', 'margin_mean_diff', 'barthag_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [989] win=50.7% bets=509 ROI=-2.1%  ['elo_diff', 'margin_mean_diff', 'barthag_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [990] win=49.6% bets=502 ROI=-4.0%  ['elo_diff', 'margin_mean_diff', 'sos_diff', 'conf_elo_diff', 'trank_adjO_diff']
  [991] win=48.9% bets=513 ROI=-5.1%  ['elo_diff', 'margin_mean_diff', 'sos_diff', 'conf_elo_diff', 'trank_adjD_diff']
  [992] win=50.8% bets=508 ROI=-1.7%  ['elo_diff', 'margin_mean_diff', 'sos_diff', 'conf_elo_diff', 'off_eff_r10_diff']
  [993] win=50.5% bets=511 ROI=-2.2%  ['elo_diff', 'margin_mean_diff', 'sos_diff', 'conf_elo_diff', 'def_eff_r10_diff']
  [994] win=49.8% bets=508 ROI=-3.6%  ['elo_diff', 'margin_mean_diff', 'sos_diff', 'trank_adjO_diff', 'trank_adjD_diff']
  [995] win=50.8% bets=522 ROI=-1.8%  ['elo_diff', 'margin_mean_diff', 'sos_diff', 'trank_adjO_diff', 'off_eff_r10_diff']
  [996] win=51.0% bets=518 ROI=-1.4%  ['elo_diff', 'margin_mean_diff', 'sos_diff', 'trank_adjO_diff', 'def_eff_r10_diff']
  [997] win=49.2% bets=518 ROI=-4.7%  ['elo_diff', 'margin_mean_diff', 'sos_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [998] win=50.4% bets=516 ROI=-2.6%  ['elo_diff', 'margin_mean_diff', 'sos_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [999] win=51.4% bets=523 ROI=-0.5%  ['elo_diff', 'margin_mean_diff', 'sos_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
