Total configs: 1651
Building features...
Loading ML odds...
  [100] win=77.6% bets=468 ROI=+50.1%  ['home', 'massey_avg_diff', 'margin_mean_diff']
  [101] win=77.4% bets=442 ROI=+49.6%  ['home', 'massey_avg_diff', 'barthag_diff']
  [102] win=77.3% bets=441 ROI=+49.5%  ['home', 'massey_avg_diff', 'sos_diff']
  [103] win=78.2% bets=435 ROI=+51.1%  ['home', 'massey_avg_diff', 'conf_elo_diff']
  [104] win=77.5% bets=439 ROI=+49.8%  ['home', 'massey_avg_diff', 'trank_adjO_diff']
  [105] win=77.2% bets=438 ROI=+49.2%  ['home', 'massey_avg_diff', 'trank_adjD_diff']
  [106] win=77.4% bets=451 ROI=+49.7%  ['home', 'massey_avg_diff', 'off_eff_r10_diff']
  [107] win=77.6% bets=452 ROI=+50.3%  ['home', 'massey_avg_diff', 'def_eff_r10_diff']
  [108] win=54.3% bets=361 ROI=+5.4%  ['home', 'margin_mean_diff', 'barthag_diff']
  [109] win=52.6% bets=367 ROI=+2.0%  ['home', 'margin_mean_diff', 'sos_diff']
  [110] win=51.8% bets=398 ROI=+0.3%  ['home', 'margin_mean_diff', 'conf_elo_diff']
  [111] win=53.6% bets=412 ROI=+4.0%  ['home', 'margin_mean_diff', 'trank_adjO_diff']
  [112] win=50.7% bets=416 ROI=-1.7%  ['home', 'margin_mean_diff', 'trank_adjD_diff']
  [113] win=52.1% bets=432 ROI=+0.9%  ['home', 'margin_mean_diff', 'off_eff_r10_diff']
  [114] win=52.4% bets=433 ROI=+1.5%  ['home', 'margin_mean_diff', 'def_eff_r10_diff']
  [115] win=56.9% bets=487 ROI=+10.3%  ['home', 'barthag_diff', 'sos_diff']
  [116] win=54.5% bets=444 ROI=+5.9%  ['home', 'barthag_diff', 'conf_elo_diff']
  [117] win=56.2% bets=489 ROI=+9.1%  ['home', 'barthag_diff', 'trank_adjO_diff']
  [118] win=57.3% bets=489 ROI=+11.0%  ['home', 'barthag_diff', 'trank_adjD_diff']
  [119] win=56.9% bets=455 ROI=+10.2%  ['home', 'barthag_diff', 'off_eff_r10_diff']
  [120] win=55.7% bets=506 ROI=+8.0%  ['home', 'barthag_diff', 'def_eff_r10_diff']
  [121] win=51.3% bets=382 ROI=+0.8%  ['home', 'sos_diff', 'conf_elo_diff']
  [122] win=56.4% bets=532 ROI=+9.3%  ['home', 'sos_diff', 'trank_adjO_diff']
  [123] win=54.2% bets=539 ROI=+5.2%  ['home', 'sos_diff', 'trank_adjD_diff']
  [124] win=56.8% bets=521 ROI=+10.0%  ['home', 'sos_diff', 'off_eff_r10_diff']
  [125] win=50.4% bets=553 ROI=-2.2%  ['home', 'sos_diff', 'def_eff_r10_diff']
  [126] win=55.6% bets=482 ROI=+7.9%  ['home', 'conf_elo_diff', 'trank_adjO_diff']
  [127] win=52.9% bets=459 ROI=+3.2%  ['home', 'conf_elo_diff', 'trank_adjD_diff']
  [128] win=53.9% bets=456 ROI=+4.7%  ['home', 'conf_elo_diff', 'off_eff_r10_diff']
  [129] win=51.6% bets=463 ROI=+0.5%  ['home', 'conf_elo_diff', 'def_eff_r10_diff']
  [130] win=57.4% bets=491 ROI=+11.4%  ['home', 'trank_adjO_diff', 'trank_adjD_diff']
  [131] win=56.8% bets=516 ROI=+10.0%  ['home', 'trank_adjO_diff', 'off_eff_r10_diff']
  [132] win=53.1% bets=527 ROI=+3.0%  ['home', 'trank_adjO_diff', 'def_eff_r10_diff']
  [133] win=57.6% bets=483 ROI=+11.5%  ['home', 'trank_adjD_diff', 'off_eff_r10_diff']
  [134] win=49.3% bets=542 ROI=-4.6%  ['home', 'trank_adjD_diff', 'def_eff_r10_diff']
  [135] win=52.9% bets=427 ROI=+2.5%  ['home', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [136] win=65.0% bets=744 ROI=+26.1%  ['massey_avg_diff', 'margin_mean_diff', 'barthag_diff']
  [137] win=65.4% bets=751 ROI=+26.8%  ['massey_avg_diff', 'margin_mean_diff', 'sos_diff']
  [138] win=65.2% bets=721 ROI=+26.4%  ['massey_avg_diff', 'margin_mean_diff', 'conf_elo_diff']
  [139] win=65.2% bets=741 ROI=+26.4%  ['massey_avg_diff', 'margin_mean_diff', 'trank_adjO_diff']
  [140] win=64.8% bets=736 ROI=+25.6%  ['massey_avg_diff', 'margin_mean_diff', 'trank_adjD_diff']
  [141] win=65.0% bets=743 ROI=+26.0%  ['massey_avg_diff', 'margin_mean_diff', 'off_eff_r10_diff']
  [142] win=64.8% bets=750 ROI=+25.6%  ['massey_avg_diff', 'margin_mean_diff', 'def_eff_r10_diff']
  [143] win=64.9% bets=733 ROI=+26.0%  ['massey_avg_diff', 'barthag_diff', 'sos_diff']
  [144] win=65.8% bets=711 ROI=+27.7%  ['massey_avg_diff', 'barthag_diff', 'conf_elo_diff']
  [145] win=65.0% bets=740 ROI=+26.1%  ['massey_avg_diff', 'barthag_diff', 'trank_adjO_diff']
  [146] win=65.0% bets=738 ROI=+26.2%  ['massey_avg_diff', 'barthag_diff', 'trank_adjD_diff']
  [147] win=64.8% bets=738 ROI=+25.6%  ['massey_avg_diff', 'barthag_diff', 'off_eff_r10_diff']
  [148] win=64.5% bets=747 ROI=+25.1%  ['massey_avg_diff', 'barthag_diff', 'def_eff_r10_diff']
  [149] win=65.7% bets=709 ROI=+27.5%  ['massey_avg_diff', 'sos_diff', 'conf_elo_diff']
