Total configs: 1651
Building features...
Loading ML odds...
  [1000] win=50.6% bets=498 ROI=-2.1%  ['elo_diff', 'margin_mean_diff', 'conf_elo_diff', 'trank_adjO_diff', 'trank_adjD_diff']
  [1001] win=51.9% bets=512 ROI=+0.5%  ['elo_diff', 'margin_mean_diff', 'conf_elo_diff', 'trank_adjO_diff', 'off_eff_r10_diff']
  [1002] win=51.9% bets=511 ROI=+0.4%  ['elo_diff', 'margin_mean_diff', 'conf_elo_diff', 'trank_adjO_diff', 'def_eff_r10_diff']
  [1003] win=50.0% bets=494 ROI=-3.0%  ['elo_diff', 'margin_mean_diff', 'conf_elo_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [1004] win=50.2% bets=500 ROI=-2.8%  ['elo_diff', 'margin_mean_diff', 'conf_elo_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [1005] win=52.1% bets=516 ROI=+0.9%  ['elo_diff', 'margin_mean_diff', 'conf_elo_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1006] win=50.5% bets=499 ROI=-2.2%  ['elo_diff', 'margin_mean_diff', 'trank_adjO_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [1007] win=50.7% bets=503 ROI=-1.9%  ['elo_diff', 'margin_mean_diff', 'trank_adjO_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [1008] win=50.6% bets=520 ROI=-2.1%  ['elo_diff', 'margin_mean_diff', 'trank_adjO_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1009] win=51.1% bets=509 ROI=-1.1%  ['elo_diff', 'margin_mean_diff', 'trank_adjD_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1010] win=50.2% bets=504 ROI=-2.7%  ['elo_diff', 'barthag_diff', 'sos_diff', 'conf_elo_diff', 'trank_adjO_diff']
  [1011] win=49.8% bets=504 ROI=-3.5%  ['elo_diff', 'barthag_diff', 'sos_diff', 'conf_elo_diff', 'trank_adjD_diff']
  [1012] win=52.2% bets=510 ROI=+1.0%  ['elo_diff', 'barthag_diff', 'sos_diff', 'conf_elo_diff', 'off_eff_r10_diff']
  [1013] win=49.2% bets=508 ROI=-4.7%  ['elo_diff', 'barthag_diff', 'sos_diff', 'conf_elo_diff', 'def_eff_r10_diff']
  [1014] win=50.7% bets=525 ROI=-1.8%  ['elo_diff', 'barthag_diff', 'sos_diff', 'trank_adjO_diff', 'trank_adjD_diff']
  [1015] win=51.5% bets=516 ROI=-0.2%  ['elo_diff', 'barthag_diff', 'sos_diff', 'trank_adjO_diff', 'off_eff_r10_diff']
  [1016] win=50.1% bets=519 ROI=-3.0%  ['elo_diff', 'barthag_diff', 'sos_diff', 'trank_adjO_diff', 'def_eff_r10_diff']
  [1017] win=51.7% bets=520 ROI=+0.2%  ['elo_diff', 'barthag_diff', 'sos_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [1018] win=50.3% bets=519 ROI=-2.7%  ['elo_diff', 'barthag_diff', 'sos_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [1019] win=51.2% bets=502 ROI=-1.0%  ['elo_diff', 'barthag_diff', 'sos_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1020] win=50.1% bets=507 ROI=-3.0%  ['elo_diff', 'barthag_diff', 'conf_elo_diff', 'trank_adjO_diff', 'trank_adjD_diff']
  [1021] win=52.0% bets=513 ROI=+0.9%  ['elo_diff', 'barthag_diff', 'conf_elo_diff', 'trank_adjO_diff', 'off_eff_r10_diff']
  [1022] win=50.3% bets=499 ROI=-2.5%  ['elo_diff', 'barthag_diff', 'conf_elo_diff', 'trank_adjO_diff', 'def_eff_r10_diff']
  [1023] win=51.9% bets=511 ROI=+0.5%  ['elo_diff', 'barthag_diff', 'conf_elo_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [1024] win=50.3% bets=497 ROI=-2.6%  ['elo_diff', 'barthag_diff', 'conf_elo_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [1025] win=51.6% bets=490 ROI=-0.1%  ['elo_diff', 'barthag_diff', 'conf_elo_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1026] win=50.8% bets=526 ROI=-1.6%  ['elo_diff', 'barthag_diff', 'trank_adjO_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [1027] win=50.9% bets=513 ROI=-1.5%  ['elo_diff', 'barthag_diff', 'trank_adjO_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [1028] win=50.9% bets=501 ROI=-1.4%  ['elo_diff', 'barthag_diff', 'trank_adjO_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1029] win=51.0% bets=500 ROI=-1.1%  ['elo_diff', 'barthag_diff', 'trank_adjD_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1030] win=49.5% bets=501 ROI=-4.1%  ['elo_diff', 'sos_diff', 'conf_elo_diff', 'trank_adjO_diff', 'trank_adjD_diff']
  [1031] win=51.5% bets=518 ROI=-0.1%  ['elo_diff', 'sos_diff', 'conf_elo_diff', 'trank_adjO_diff', 'off_eff_r10_diff']
  [1032] win=49.5% bets=507 ROI=-4.1%  ['elo_diff', 'sos_diff', 'conf_elo_diff', 'trank_adjO_diff', 'def_eff_r10_diff']
  [1033] win=51.7% bets=514 ROI=+0.2%  ['elo_diff', 'sos_diff', 'conf_elo_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [1034] win=50.1% bets=509 ROI=-3.0%  ['elo_diff', 'sos_diff', 'conf_elo_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [1035] win=51.8% bets=513 ROI=+0.5%  ['elo_diff', 'sos_diff', 'conf_elo_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1036] win=51.6% bets=519 ROI=+0.1%  ['elo_diff', 'sos_diff', 'trank_adjO_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [1037] win=50.2% bets=520 ROI=-2.9%  ['elo_diff', 'sos_diff', 'trank_adjO_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [1038] win=51.4% bets=519 ROI=-0.4%  ['elo_diff', 'sos_diff', 'trank_adjO_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1039] win=50.1% bets=511 ROI=-2.9%  ['elo_diff', 'sos_diff', 'trank_adjD_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1040] win=51.8% bets=513 ROI=+0.5%  ['elo_diff', 'conf_elo_diff', 'trank_adjO_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [1041] win=50.3% bets=495 ROI=-2.6%  ['elo_diff', 'conf_elo_diff', 'trank_adjO_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [1042] win=52.3% bets=507 ROI=+1.2%  ['elo_diff', 'conf_elo_diff', 'trank_adjO_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1043] win=50.8% bets=498 ROI=-1.5%  ['elo_diff', 'conf_elo_diff', 'trank_adjD_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1044] win=51.4% bets=502 ROI=-0.4%  ['elo_diff', 'trank_adjO_diff', 'trank_adjD_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1045] win=77.0% bets=496 ROI=+49.0%  ['elo_pred', 'home', 'massey_avg_diff', 'margin_mean_diff', 'barthag_diff']
  [1046] win=76.9% bets=502 ROI=+48.7%  ['elo_pred', 'home', 'massey_avg_diff', 'margin_mean_diff', 'sos_diff']
  [1047] win=77.2% bets=501 ROI=+49.5%  ['elo_pred', 'home', 'massey_avg_diff', 'margin_mean_diff', 'conf_elo_diff']
  [1048] win=77.5% bets=498 ROI=+49.9%  ['elo_pred', 'home', 'massey_avg_diff', 'margin_mean_diff', 'trank_adjO_diff']
  [1049] win=76.3% bets=493 ROI=+47.6%  ['elo_pred', 'home', 'massey_avg_diff', 'margin_mean_diff', 'trank_adjD_diff']
