Total configs: 1651
Building features...
Loading ML odds...
  [1050] win=77.3% bets=498 ROI=+49.6%  ['elo_pred', 'home', 'massey_avg_diff', 'margin_mean_diff', 'off_eff_r10_diff']
  [1051] win=77.2% bets=495 ROI=+49.3%  ['elo_pred', 'home', 'massey_avg_diff', 'margin_mean_diff', 'def_eff_r10_diff']
  [1052] win=77.2% bets=491 ROI=+49.4%  ['elo_pred', 'home', 'massey_avg_diff', 'barthag_diff', 'sos_diff']
  [1053] win=77.0% bets=500 ROI=+48.9%  ['elo_pred', 'home', 'massey_avg_diff', 'barthag_diff', 'conf_elo_diff']
  [1054] win=76.8% bets=496 ROI=+48.6%  ['elo_pred', 'home', 'massey_avg_diff', 'barthag_diff', 'trank_adjO_diff']
  [1055] win=76.3% bets=490 ROI=+47.7%  ['elo_pred', 'home', 'massey_avg_diff', 'barthag_diff', 'trank_adjD_diff']
  [1056] win=77.0% bets=491 ROI=+48.9%  ['elo_pred', 'home', 'massey_avg_diff', 'barthag_diff', 'off_eff_r10_diff']
  [1057] win=77.4% bets=495 ROI=+49.7%  ['elo_pred', 'home', 'massey_avg_diff', 'barthag_diff', 'def_eff_r10_diff']
  [1058] win=77.2% bets=496 ROI=+49.4%  ['elo_pred', 'home', 'massey_avg_diff', 'sos_diff', 'conf_elo_diff']
  [1059] win=77.3% bets=494 ROI=+49.6%  ['elo_pred', 'home', 'massey_avg_diff', 'sos_diff', 'trank_adjO_diff']
  [1060] win=76.5% bets=490 ROI=+48.1%  ['elo_pred', 'home', 'massey_avg_diff', 'sos_diff', 'trank_adjD_diff']
  [1061] win=76.9% bets=497 ROI=+48.7%  ['elo_pred', 'home', 'massey_avg_diff', 'sos_diff', 'off_eff_r10_diff']
  [1062] win=77.0% bets=496 ROI=+49.0%  ['elo_pred', 'home', 'massey_avg_diff', 'sos_diff', 'def_eff_r10_diff']
  [1063] win=76.6% bets=508 ROI=+48.2%  ['elo_pred', 'home', 'massey_avg_diff', 'conf_elo_diff', 'trank_adjO_diff']
  [1064] win=76.5% bets=499 ROI=+48.1%  ['elo_pred', 'home', 'massey_avg_diff', 'conf_elo_diff', 'trank_adjD_diff']
  [1065] win=77.5% bets=501 ROI=+49.9%  ['elo_pred', 'home', 'massey_avg_diff', 'conf_elo_diff', 'off_eff_r10_diff']
  [1066] win=77.2% bets=500 ROI=+49.3%  ['elo_pred', 'home', 'massey_avg_diff', 'conf_elo_diff', 'def_eff_r10_diff']
  [1067] win=76.5% bets=493 ROI=+48.0%  ['elo_pred', 'home', 'massey_avg_diff', 'trank_adjO_diff', 'trank_adjD_diff']
  [1068] win=77.0% bets=495 ROI=+48.9%  ['elo_pred', 'home', 'massey_avg_diff', 'trank_adjO_diff', 'off_eff_r10_diff']
  [1069] win=77.5% bets=494 ROI=+50.0%  ['elo_pred', 'home', 'massey_avg_diff', 'trank_adjO_diff', 'def_eff_r10_diff']
  [1070] win=76.5% bets=490 ROI=+48.1%  ['elo_pred', 'home', 'massey_avg_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [1071] win=76.4% bets=491 ROI=+47.8%  ['elo_pred', 'home', 'massey_avg_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [1072] win=76.8% bets=501 ROI=+48.7%  ['elo_pred', 'home', 'massey_avg_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1073] win=54.5% bets=231 ROI=+5.8%  ['elo_pred', 'home', 'margin_mean_diff', 'barthag_diff', 'sos_diff']
  [1074] win=53.6% bets=278 ROI=+3.5%  ['elo_pred', 'home', 'margin_mean_diff', 'barthag_diff', 'conf_elo_diff']
  [1075] win=53.8% bets=279 ROI=+3.8%  ['elo_pred', 'home', 'margin_mean_diff', 'barthag_diff', 'trank_adjO_diff']
  [1076] win=53.2% bets=278 ROI=+2.8%  ['elo_pred', 'home', 'margin_mean_diff', 'barthag_diff', 'trank_adjD_diff']
  [1077] win=56.1% bets=271 ROI=+8.4%  ['elo_pred', 'home', 'margin_mean_diff', 'barthag_diff', 'off_eff_r10_diff']
  [1078] win=55.8% bets=278 ROI=+7.7%  ['elo_pred', 'home', 'margin_mean_diff', 'barthag_diff', 'def_eff_r10_diff']
  [1079] win=53.0% bets=234 ROI=+2.6%  ['elo_pred', 'home', 'margin_mean_diff', 'sos_diff', 'conf_elo_diff']
  [1080] win=53.2% bets=235 ROI=+2.9%  ['elo_pred', 'home', 'margin_mean_diff', 'sos_diff', 'trank_adjO_diff']
  [1081] win=53.8% bets=234 ROI=+4.1%  ['elo_pred', 'home', 'margin_mean_diff', 'sos_diff', 'trank_adjD_diff']
  [1082] win=55.3% bets=244 ROI=+6.9%  ['elo_pred', 'home', 'margin_mean_diff', 'sos_diff', 'off_eff_r10_diff']
  [1083] win=53.9% bets=245 ROI=+4.2%  ['elo_pred', 'home', 'margin_mean_diff', 'sos_diff', 'def_eff_r10_diff']
  [1084] win=55.0% bets=278 ROI=+6.2%  ['elo_pred', 'home', 'margin_mean_diff', 'conf_elo_diff', 'trank_adjO_diff']
  [1085] win=53.0% bets=281 ROI=+2.4%  ['elo_pred', 'home', 'margin_mean_diff', 'conf_elo_diff', 'trank_adjD_diff']
