Total configs: 1651
Building features...
Loading ML odds...
  [1100] win=54.4% bets=320 ROI=+4.9%  ['elo_pred', 'home', 'barthag_diff', 'conf_elo_diff', 'trank_adjD_diff']
  [1101] win=60.2% bets=279 ROI=+16.5%  ['elo_pred', 'home', 'barthag_diff', 'conf_elo_diff', 'off_eff_r10_diff']
  [1102] win=54.0% bets=311 ROI=+4.3%  ['elo_pred', 'home', 'barthag_diff', 'conf_elo_diff', 'def_eff_r10_diff']
  [1103] win=53.4% bets=320 ROI=+3.1%  ['elo_pred', 'home', 'barthag_diff', 'trank_adjO_diff', 'trank_adjD_diff']
  [1104] win=58.0% bets=286 ROI=+12.4%  ['elo_pred', 'home', 'barthag_diff', 'trank_adjO_diff', 'off_eff_r10_diff']
  [1105] win=54.7% bets=307 ROI=+5.6%  ['elo_pred', 'home', 'barthag_diff', 'trank_adjO_diff', 'def_eff_r10_diff']
  [1106] win=58.3% bets=283 ROI=+12.9%  ['elo_pred', 'home', 'barthag_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [1107] win=54.8% bets=310 ROI=+5.8%  ['elo_pred', 'home', 'barthag_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [1108] win=56.0% bets=282 ROI=+8.3%  ['elo_pred', 'home', 'barthag_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1109] win=55.2% bets=326 ROI=+6.6%  ['elo_pred', 'home', 'sos_diff', 'conf_elo_diff', 'trank_adjO_diff']
  [1110] win=54.5% bets=323 ROI=+5.1%  ['elo_pred', 'home', 'sos_diff', 'conf_elo_diff', 'trank_adjD_diff']
  [1111] win=59.9% bets=277 ROI=+15.9%  ['elo_pred', 'home', 'sos_diff', 'conf_elo_diff', 'off_eff_r10_diff']
  [1112] win=53.2% bets=316 ROI=+2.7%  ['elo_pred', 'home', 'sos_diff', 'conf_elo_diff', 'def_eff_r10_diff']
  [1113] win=54.4% bets=322 ROI=+4.8%  ['elo_pred', 'home', 'sos_diff', 'trank_adjO_diff', 'trank_adjD_diff']
  [1114] win=58.8% bets=279 ROI=+13.6%  ['elo_pred', 'home', 'sos_diff', 'trank_adjO_diff', 'off_eff_r10_diff']
  [1115] win=53.9% bets=310 ROI=+4.0%  ['elo_pred', 'home', 'sos_diff', 'trank_adjO_diff', 'def_eff_r10_diff']
  [1116] win=59.4% bets=271 ROI=+14.9%  ['elo_pred', 'home', 'sos_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [1117] win=53.8% bets=307 ROI=+3.8%  ['elo_pred', 'home', 'sos_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [1118] win=55.6% bets=243 ROI=+7.4%  ['elo_pred', 'home', 'sos_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1119] win=54.4% bets=322 ROI=+4.9%  ['elo_pred', 'home', 'conf_elo_diff', 'trank_adjO_diff', 'trank_adjD_diff']
  [1120] win=58.5% bets=287 ROI=+13.2%  ['elo_pred', 'home', 'conf_elo_diff', 'trank_adjO_diff', 'off_eff_r10_diff']
  [1121] win=53.8% bets=314 ROI=+4.0%  ['elo_pred', 'home', 'conf_elo_diff', 'trank_adjO_diff', 'def_eff_r10_diff']
  [1122] win=58.2% bets=275 ROI=+12.7%  ['elo_pred', 'home', 'conf_elo_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [1123] win=52.9% bets=306 ROI=+2.2%  ['elo_pred', 'home', 'conf_elo_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [1124] win=56.2% bets=276 ROI=+8.6%  ['elo_pred', 'home', 'conf_elo_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
