Total configs: 1651
Building features...
Loading ML odds...
  [1150] win=66.4% bets=724 ROI=+28.8%  ['elo_pred', 'massey_avg_diff', 'barthag_diff', 'sos_diff', 'conf_elo_diff']
  [1151] win=66.0% bets=739 ROI=+28.1%  ['elo_pred', 'massey_avg_diff', 'barthag_diff', 'sos_diff', 'trank_adjO_diff']
  [1152] win=66.5% bets=738 ROI=+29.0%  ['elo_pred', 'massey_avg_diff', 'barthag_diff', 'sos_diff', 'trank_adjD_diff']
  [1153] win=66.0% bets=736 ROI=+28.1%  ['elo_pred', 'massey_avg_diff', 'barthag_diff', 'sos_diff', 'off_eff_r10_diff']
  [1154] win=66.0% bets=747 ROI=+28.1%  ['elo_pred', 'massey_avg_diff', 'barthag_diff', 'sos_diff', 'def_eff_r10_diff']
  [1155] win=66.7% bets=723 ROI=+29.2%  ['elo_pred', 'massey_avg_diff', 'barthag_diff', 'conf_elo_diff', 'trank_adjO_diff']
  [1156] win=67.1% bets=720 ROI=+30.0%  ['elo_pred', 'massey_avg_diff', 'barthag_diff', 'conf_elo_diff', 'trank_adjD_diff']
  [1157] win=66.3% bets=722 ROI=+28.6%  ['elo_pred', 'massey_avg_diff', 'barthag_diff', 'conf_elo_diff', 'off_eff_r10_diff']
  [1158] win=66.4% bets=727 ROI=+28.8%  ['elo_pred', 'massey_avg_diff', 'barthag_diff', 'conf_elo_diff', 'def_eff_r10_diff']
  [1159] win=66.2% bets=752 ROI=+28.3%  ['elo_pred', 'massey_avg_diff', 'barthag_diff', 'trank_adjO_diff', 'trank_adjD_diff']
  [1160] win=66.0% bets=739 ROI=+28.1%  ['elo_pred', 'massey_avg_diff', 'barthag_diff', 'trank_adjO_diff', 'off_eff_r10_diff']
  [1161] win=66.0% bets=747 ROI=+28.0%  ['elo_pred', 'massey_avg_diff', 'barthag_diff', 'trank_adjO_diff', 'def_eff_r10_diff']
  [1162] win=66.1% bets=732 ROI=+28.2%  ['elo_pred', 'massey_avg_diff', 'barthag_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [1163] win=65.9% bets=751 ROI=+27.8%  ['elo_pred', 'massey_avg_diff', 'barthag_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [1164] win=65.9% bets=751 ROI=+27.8%  ['elo_pred', 'massey_avg_diff', 'barthag_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1165] win=66.5% bets=726 ROI=+28.9%  ['elo_pred', 'massey_avg_diff', 'sos_diff', 'conf_elo_diff', 'trank_adjO_diff']
  [1166] win=66.4% bets=724 ROI=+28.8%  ['elo_pred', 'massey_avg_diff', 'sos_diff', 'conf_elo_diff', 'trank_adjD_diff']
  [1167] win=65.9% bets=731 ROI=+27.8%  ['elo_pred', 'massey_avg_diff', 'sos_diff', 'conf_elo_diff', 'off_eff_r10_diff']
  [1168] win=66.1% bets=729 ROI=+28.1%  ['elo_pred', 'massey_avg_diff', 'sos_diff', 'conf_elo_diff', 'def_eff_r10_diff']
  [1169] win=66.7% bets=738 ROI=+29.3%  ['elo_pred', 'massey_avg_diff', 'sos_diff', 'trank_adjO_diff', 'trank_adjD_diff']
  [1170] win=65.9% bets=739 ROI=+27.8%  ['elo_pred', 'massey_avg_diff', 'sos_diff', 'trank_adjO_diff', 'off_eff_r10_diff']
  [1171] win=65.8% bets=749 ROI=+27.7%  ['elo_pred', 'massey_avg_diff', 'sos_diff', 'trank_adjO_diff', 'def_eff_r10_diff']
  [1172] win=66.1% bets=735 ROI=+28.2%  ['elo_pred', 'massey_avg_diff', 'sos_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [1173] win=66.1% bets=753 ROI=+28.3%  ['elo_pred', 'massey_avg_diff', 'sos_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [1174] win=65.7% bets=750 ROI=+27.4%  ['elo_pred', 'massey_avg_diff', 'sos_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1175] win=67.0% bets=721 ROI=+29.8%  ['elo_pred', 'massey_avg_diff', 'conf_elo_diff', 'trank_adjO_diff', 'trank_adjD_diff']
  [1176] win=66.1% bets=723 ROI=+28.1%  ['elo_pred', 'massey_avg_diff', 'conf_elo_diff', 'trank_adjO_diff', 'off_eff_r10_diff']
  [1177] win=66.6% bets=730 ROI=+29.0%  ['elo_pred', 'massey_avg_diff', 'conf_elo_diff', 'trank_adjO_diff', 'def_eff_r10_diff']
  [1178] win=66.7% bets=721 ROI=+29.3%  ['elo_pred', 'massey_avg_diff', 'conf_elo_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [1179] win=67.1% bets=727 ROI=+30.1%  ['elo_pred', 'massey_avg_diff', 'conf_elo_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [1180] win=66.0% bets=730 ROI=+27.9%  ['elo_pred', 'massey_avg_diff', 'conf_elo_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1181] win=66.3% bets=738 ROI=+28.5%  ['elo_pred', 'massey_avg_diff', 'trank_adjO_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [1182] win=66.3% bets=741 ROI=+28.5%  ['elo_pred', 'massey_avg_diff', 'trank_adjO_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [1183] win=66.0% bets=748 ROI=+28.0%  ['elo_pred', 'massey_avg_diff', 'trank_adjO_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1184] win=65.6% bets=747 ROI=+27.1%  ['elo_pred', 'massey_avg_diff', 'trank_adjD_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1185] win=50.3% bets=586 ROI=-2.7%  ['elo_pred', 'margin_mean_diff', 'barthag_diff', 'sos_diff', 'conf_elo_diff']
  [1186] win=51.0% bets=620 ROI=-1.5%  ['elo_pred', 'margin_mean_diff', 'barthag_diff', 'sos_diff', 'trank_adjO_diff']
  [1187] win=51.2% bets=621 ROI=-1.1%  ['elo_pred', 'margin_mean_diff', 'barthag_diff', 'sos_diff', 'trank_adjD_diff']
  [1188] win=50.2% bets=629 ROI=-3.0%  ['elo_pred', 'margin_mean_diff', 'barthag_diff', 'sos_diff', 'off_eff_r10_diff']
  [1189] win=49.3% bets=629 ROI=-4.8%  ['elo_pred', 'margin_mean_diff', 'barthag_diff', 'sos_diff', 'def_eff_r10_diff']
  [1190] win=50.6% bets=607 ROI=-2.3%  ['elo_pred', 'margin_mean_diff', 'barthag_diff', 'conf_elo_diff', 'trank_adjO_diff']
  [1191] win=50.3% bets=604 ROI=-2.8%  ['elo_pred', 'margin_mean_diff', 'barthag_diff', 'conf_elo_diff', 'trank_adjD_diff']
  [1192] win=50.7% bets=604 ROI=-2.1%  ['elo_pred', 'margin_mean_diff', 'barthag_diff', 'conf_elo_diff', 'off_eff_r10_diff']
  [1193] win=50.8% bets=606 ROI=-1.8%  ['elo_pred', 'margin_mean_diff', 'barthag_diff', 'conf_elo_diff', 'def_eff_r10_diff']
  [1194] win=50.9% bets=625 ROI=-1.7%  ['elo_pred', 'margin_mean_diff', 'barthag_diff', 'trank_adjO_diff', 'trank_adjD_diff']
  [1195] win=51.3% bets=628 ROI=-0.9%  ['elo_pred', 'margin_mean_diff', 'barthag_diff', 'trank_adjO_diff', 'off_eff_r10_diff']
  [1196] win=50.6% bets=622 ROI=-2.1%  ['elo_pred', 'margin_mean_diff', 'barthag_diff', 'trank_adjO_diff', 'def_eff_r10_diff']
  [1197] win=50.6% bets=629 ROI=-2.3%  ['elo_pred', 'margin_mean_diff', 'barthag_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [1198] win=50.1% bets=625 ROI=-3.2%  ['elo_pred', 'margin_mean_diff', 'barthag_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [1199] win=51.7% bets=625 ROI=-0.1%  ['elo_pred', 'margin_mean_diff', 'barthag_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
