Total configs: 1651
Building features...
Loading ML odds...
  [1200] win=50.9% bets=607 ROI=-1.6%  ['elo_pred', 'margin_mean_diff', 'sos_diff', 'conf_elo_diff', 'trank_adjO_diff']
  [1201] win=49.3% bets=584 ROI=-4.5%  ['elo_pred', 'margin_mean_diff', 'sos_diff', 'conf_elo_diff', 'trank_adjD_diff']
  [1202] win=50.8% bets=624 ROI=-1.7%  ['elo_pred', 'margin_mean_diff', 'sos_diff', 'conf_elo_diff', 'off_eff_r10_diff']
  [1203] win=50.4% bets=625 ROI=-2.5%  ['elo_pred', 'margin_mean_diff', 'sos_diff', 'conf_elo_diff', 'def_eff_r10_diff']
  [1204] win=51.1% bets=620 ROI=-1.2%  ['elo_pred', 'margin_mean_diff', 'sos_diff', 'trank_adjO_diff', 'trank_adjD_diff']
  [1205] win=50.2% bets=639 ROI=-2.8%  ['elo_pred', 'margin_mean_diff', 'sos_diff', 'trank_adjO_diff', 'off_eff_r10_diff']
  [1206] win=50.5% bets=642 ROI=-2.4%  ['elo_pred', 'margin_mean_diff', 'sos_diff', 'trank_adjO_diff', 'def_eff_r10_diff']
  [1207] win=50.5% bets=633 ROI=-2.4%  ['elo_pred', 'margin_mean_diff', 'sos_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [1208] win=50.5% bets=634 ROI=-2.5%  ['elo_pred', 'margin_mean_diff', 'sos_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [1209] win=50.6% bets=652 ROI=-2.2%  ['elo_pred', 'margin_mean_diff', 'sos_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1210] win=50.1% bets=601 ROI=-3.3%  ['elo_pred', 'margin_mean_diff', 'conf_elo_diff', 'trank_adjO_diff', 'trank_adjD_diff']
  [1211] win=52.0% bets=613 ROI=+0.7%  ['elo_pred', 'margin_mean_diff', 'conf_elo_diff', 'trank_adjO_diff', 'off_eff_r10_diff']
