Total configs: 1651
Building features...
Loading ML odds...
  [1250] win=51.0% bets=616 ROI=-1.4%  ['elo_pred', 'conf_elo_diff', 'trank_adjO_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [1251] win=51.2% bets=637 ROI=-1.0%  ['elo_pred', 'conf_elo_diff', 'trank_adjO_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [1252] win=52.4% bets=614 ROI=+1.5%  ['elo_pred', 'conf_elo_diff', 'trank_adjO_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1253] win=49.5% bets=618 ROI=-4.1%  ['elo_pred', 'conf_elo_diff', 'trank_adjD_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1254] win=50.7% bets=629 ROI=-2.0%  ['elo_pred', 'trank_adjO_diff', 'trank_adjD_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1255] win=76.9% bets=472 ROI=+48.8%  ['home', 'massey_avg_diff', 'margin_mean_diff', 'barthag_diff', 'sos_diff']
  [1256] win=77.8% bets=473 ROI=+50.5%  ['home', 'massey_avg_diff', 'margin_mean_diff', 'barthag_diff', 'conf_elo_diff']
  [1257] win=77.3% bets=472 ROI=+49.6%  ['home', 'massey_avg_diff', 'margin_mean_diff', 'barthag_diff', 'trank_adjO_diff']
  [1258] win=77.1% bets=472 ROI=+49.3%  ['home', 'massey_avg_diff', 'margin_mean_diff', 'barthag_diff', 'trank_adjD_diff']
  [1259] win=77.1% bets=471 ROI=+49.1%  ['home', 'massey_avg_diff', 'margin_mean_diff', 'barthag_diff', 'off_eff_r10_diff']
  [1260] win=77.6% bets=468 ROI=+50.0%  ['home', 'massey_avg_diff', 'margin_mean_diff', 'barthag_diff', 'def_eff_r10_diff']
  [1261] win=77.2% bets=474 ROI=+49.5%  ['home', 'massey_avg_diff', 'margin_mean_diff', 'sos_diff', 'conf_elo_diff']
  [1262] win=76.6% bets=475 ROI=+48.3%  ['home', 'massey_avg_diff', 'margin_mean_diff', 'sos_diff', 'trank_adjO_diff']
  [1263] win=76.9% bets=472 ROI=+48.9%  ['home', 'massey_avg_diff', 'margin_mean_diff', 'sos_diff', 'trank_adjD_diff']
  [1264] win=76.7% bets=473 ROI=+48.5%  ['home', 'massey_avg_diff', 'margin_mean_diff', 'sos_diff', 'off_eff_r10_diff']
  [1265] win=76.9% bets=471 ROI=+48.8%  ['home', 'massey_avg_diff', 'margin_mean_diff', 'sos_diff', 'def_eff_r10_diff']
  [1266] win=78.0% bets=468 ROI=+50.9%  ['home', 'massey_avg_diff', 'margin_mean_diff', 'conf_elo_diff', 'trank_adjO_diff']
  [1267] win=77.5% bets=463 ROI=+50.1%  ['home', 'massey_avg_diff', 'margin_mean_diff', 'conf_elo_diff', 'trank_adjD_diff']
  [1268] win=77.7% bets=466 ROI=+50.4%  ['home', 'massey_avg_diff', 'margin_mean_diff', 'conf_elo_diff', 'off_eff_r10_diff']
  [1269] win=77.8% bets=465 ROI=+50.7%  ['home', 'massey_avg_diff', 'margin_mean_diff', 'conf_elo_diff', 'def_eff_r10_diff']
  [1270] win=77.4% bets=464 ROI=+49.7%  ['home', 'massey_avg_diff', 'margin_mean_diff', 'trank_adjO_diff', 'trank_adjD_diff']
  [1271] win=77.7% bets=467 ROI=+50.4%  ['home', 'massey_avg_diff', 'margin_mean_diff', 'trank_adjO_diff', 'off_eff_r10_diff']
  [1272] win=77.9% bets=466 ROI=+50.7%  ['home', 'massey_avg_diff', 'margin_mean_diff', 'trank_adjO_diff', 'def_eff_r10_diff']
  [1273] win=77.1% bets=467 ROI=+49.2%  ['home', 'massey_avg_diff', 'margin_mean_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [1274] win=77.7% bets=461 ROI=+50.3%  ['home', 'massey_avg_diff', 'margin_mean_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [1275] win=77.3% bets=462 ROI=+49.5%  ['home', 'massey_avg_diff', 'margin_mean_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1276] win=78.0% bets=441 ROI=+50.8%  ['home', 'massey_avg_diff', 'barthag_diff', 'sos_diff', 'conf_elo_diff']
