Total configs: 1651
Building features...
Loading ML odds...
  [1300] win=76.8% bets=475 ROI=+48.7%  ['home', 'massey_avg_diff', 'sos_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1301] win=78.7% bets=432 ROI=+52.2%  ['home', 'massey_avg_diff', 'conf_elo_diff', 'trank_adjO_diff', 'trank_adjD_diff']
  [1302] win=77.5% bets=448 ROI=+49.8%  ['home', 'massey_avg_diff', 'conf_elo_diff', 'trank_adjO_diff', 'off_eff_r10_diff']
  [1303] win=78.9% bets=445 ROI=+52.6%  ['home', 'massey_avg_diff', 'conf_elo_diff', 'trank_adjO_diff', 'def_eff_r10_diff']
  [1304] win=76.9% bets=451 ROI=+48.9%  ['home', 'massey_avg_diff', 'conf_elo_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [1305] win=77.7% bets=440 ROI=+50.4%  ['home', 'massey_avg_diff', 'conf_elo_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [1306] win=77.9% bets=466 ROI=+50.8%  ['home', 'massey_avg_diff', 'conf_elo_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1307] win=77.0% bets=448 ROI=+49.0%  ['home', 'massey_avg_diff', 'trank_adjO_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [1308] win=77.1% bets=445 ROI=+49.1%  ['home', 'massey_avg_diff', 'trank_adjO_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [1309] win=77.8% bets=469 ROI=+50.6%  ['home', 'massey_avg_diff', 'trank_adjO_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1310] win=77.0% bets=466 ROI=+49.1%  ['home', 'massey_avg_diff', 'trank_adjD_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1311] win=55.2% bets=315 ROI=+6.8%  ['home', 'margin_mean_diff', 'barthag_diff', 'sos_diff', 'conf_elo_diff']
  [1312] win=55.1% bets=330 ROI=+6.6%  ['home', 'margin_mean_diff', 'barthag_diff', 'sos_diff', 'trank_adjO_diff']
  [1313] win=54.6% bets=339 ROI=+5.5%  ['home', 'margin_mean_diff', 'barthag_diff', 'sos_diff', 'trank_adjD_diff']
  [1314] win=57.6% bets=318 ROI=+11.5%  ['home', 'margin_mean_diff', 'barthag_diff', 'sos_diff', 'off_eff_r10_diff']
  [1315] win=55.9% bets=329 ROI=+8.1%  ['home', 'margin_mean_diff', 'barthag_diff', 'sos_diff', 'def_eff_r10_diff']
  [1316] win=53.2% bets=331 ROI=+3.3%  ['home', 'margin_mean_diff', 'barthag_diff', 'conf_elo_diff', 'trank_adjO_diff']
  [1317] win=53.2% bets=331 ROI=+3.1%  ['home', 'margin_mean_diff', 'barthag_diff', 'conf_elo_diff', 'trank_adjD_diff']
  [1318] win=53.7% bets=326 ROI=+4.2%  ['home', 'margin_mean_diff', 'barthag_diff', 'conf_elo_diff', 'off_eff_r10_diff']
  [1319] win=54.1% bets=325 ROI=+5.1%  ['home', 'margin_mean_diff', 'barthag_diff', 'conf_elo_diff', 'def_eff_r10_diff']
  [1320] win=53.5% bets=357 ROI=+3.6%  ['home', 'margin_mean_diff', 'barthag_diff', 'trank_adjO_diff', 'trank_adjD_diff']
  [1321] win=55.5% bets=348 ROI=+7.5%  ['home', 'margin_mean_diff', 'barthag_diff', 'trank_adjO_diff', 'off_eff_r10_diff']
  [1322] win=55.7% bets=352 ROI=+8.0%  ['home', 'margin_mean_diff', 'barthag_diff', 'trank_adjO_diff', 'def_eff_r10_diff']
  [1323] win=54.4% bets=349 ROI=+5.6%  ['home', 'margin_mean_diff', 'barthag_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [1324] win=53.9% bets=354 ROI=+4.6%  ['home', 'margin_mean_diff', 'barthag_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [1325] win=55.3% bets=349 ROI=+7.2%  ['home', 'margin_mean_diff', 'barthag_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1326] win=55.8% bets=328 ROI=+7.9%  ['home', 'margin_mean_diff', 'sos_diff', 'conf_elo_diff', 'trank_adjO_diff']
  [1327] win=54.0% bets=341 ROI=+4.4%  ['home', 'margin_mean_diff', 'sos_diff', 'conf_elo_diff', 'trank_adjD_diff']
  [1328] win=52.8% bets=333 ROI=+2.6%  ['home', 'margin_mean_diff', 'sos_diff', 'conf_elo_diff', 'off_eff_r10_diff']
  [1329] win=51.9% bets=333 ROI=+0.8%  ['home', 'margin_mean_diff', 'sos_diff', 'conf_elo_diff', 'def_eff_r10_diff']
  [1330] win=55.2% bets=324 ROI=+6.7%  ['home', 'margin_mean_diff', 'sos_diff', 'trank_adjO_diff', 'trank_adjD_diff']
  [1331] win=56.5% bets=340 ROI=+9.1%  ['home', 'margin_mean_diff', 'sos_diff', 'trank_adjO_diff', 'off_eff_r10_diff']
  [1332] win=56.2% bets=347 ROI=+8.6%  ['home', 'margin_mean_diff', 'sos_diff', 'trank_adjO_diff', 'def_eff_r10_diff']
  [1333] win=55.7% bets=361 ROI=+7.5%  ['home', 'margin_mean_diff', 'sos_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [1334] win=56.3% bets=364 ROI=+9.0%  ['home', 'margin_mean_diff', 'sos_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [1335] win=52.9% bets=363 ROI=+2.4%  ['home', 'margin_mean_diff', 'sos_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1336] win=53.4% bets=333 ROI=+3.6%  ['home', 'margin_mean_diff', 'conf_elo_diff', 'trank_adjO_diff', 'trank_adjD_diff']
  [1337] win=52.5% bets=366 ROI=+1.6%  ['home', 'margin_mean_diff', 'conf_elo_diff', 'trank_adjO_diff', 'off_eff_r10_diff']
  [1338] win=52.3% bets=367 ROI=+1.4%  ['home', 'margin_mean_diff', 'conf_elo_diff', 'trank_adjO_diff', 'def_eff_r10_diff']
  [1339] win=51.6% bets=353 ROI=-0.3%  ['home', 'margin_mean_diff', 'conf_elo_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [1340] win=51.4% bets=352 ROI=-0.4%  ['home', 'margin_mean_diff', 'conf_elo_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [1341] win=52.9% bets=378 ROI=+2.5%  ['home', 'margin_mean_diff', 'conf_elo_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1342] win=55.2% bets=357 ROI=+7.0%  ['home', 'margin_mean_diff', 'trank_adjO_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [1343] win=55.1% bets=356 ROI=+6.7%  ['home', 'margin_mean_diff', 'trank_adjO_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [1344] win=54.6% bets=405 ROI=+5.8%  ['home', 'margin_mean_diff', 'trank_adjO_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1345] win=51.6% bets=409 ROI=-0.2%  ['home', 'margin_mean_diff', 'trank_adjD_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1346] win=54.6% bets=452 ROI=+6.1%  ['home', 'barthag_diff', 'sos_diff', 'conf_elo_diff', 'trank_adjO_diff']
  [1347] win=54.8% bets=449 ROI=+6.3%  ['home', 'barthag_diff', 'sos_diff', 'conf_elo_diff', 'trank_adjD_diff']
  [1348] win=60.7% bets=410 ROI=+17.7%  ['home', 'barthag_diff', 'sos_diff', 'conf_elo_diff', 'off_eff_r10_diff']
  [1349] win=53.8% bets=442 ROI=+4.3%  ['home', 'barthag_diff', 'sos_diff', 'conf_elo_diff', 'def_eff_r10_diff']
