Total configs: 1651
Building features...
Loading ML odds...
  [1350] win=57.9% bets=492 ROI=+12.4%  ['home', 'barthag_diff', 'sos_diff', 'trank_adjO_diff', 'trank_adjD_diff']
  [1351] win=58.4% bets=433 ROI=+13.2%  ['home', 'barthag_diff', 'sos_diff', 'trank_adjO_diff', 'off_eff_r10_diff']
  [1352] win=53.6% bets=483 ROI=+3.9%  ['home', 'barthag_diff', 'sos_diff', 'trank_adjO_diff', 'def_eff_r10_diff']
  [1353] win=59.3% bets=430 ROI=+14.8%  ['home', 'barthag_diff', 'sos_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [1354] win=55.2% bets=487 ROI=+6.9%  ['home', 'barthag_diff', 'sos_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [1355] win=57.5% bets=322 ROI=+11.3%  ['home', 'barthag_diff', 'sos_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1356] win=54.4% bets=450 ROI=+5.9%  ['home', 'barthag_diff', 'conf_elo_diff', 'trank_adjO_diff', 'trank_adjD_diff']
  [1357] win=58.6% bets=406 ROI=+13.7%  ['home', 'barthag_diff', 'conf_elo_diff', 'trank_adjO_diff', 'off_eff_r10_diff']
  [1358] win=54.7% bets=439 ROI=+6.1%  ['home', 'barthag_diff', 'conf_elo_diff', 'trank_adjO_diff', 'def_eff_r10_diff']
  [1359] win=60.9% bets=404 ROI=+18.1%  ['home', 'barthag_diff', 'conf_elo_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [1360] win=55.1% bets=441 ROI=+7.0%  ['home', 'barthag_diff', 'conf_elo_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [1361] win=54.0% bets=333 ROI=+5.0%  ['home', 'barthag_diff', 'conf_elo_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1362] win=59.0% bets=434 ROI=+14.0%  ['home', 'barthag_diff', 'trank_adjO_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [1363] win=55.2% bets=491 ROI=+7.1%  ['home', 'barthag_diff', 'trank_adjO_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [1364] win=56.0% bets=348 ROI=+8.3%  ['home', 'barthag_diff', 'trank_adjO_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1365] win=57.9% bets=344 ROI=+11.9%  ['home', 'barthag_diff', 'trank_adjD_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1366] win=55.5% bets=445 ROI=+7.8%  ['home', 'sos_diff', 'conf_elo_diff', 'trank_adjO_diff', 'trank_adjD_diff']
  [1367] win=58.8% bets=449 ROI=+13.9%  ['home', 'sos_diff', 'conf_elo_diff', 'trank_adjO_diff', 'off_eff_r10_diff']
  [1368] win=52.4% bets=456 ROI=+1.8%  ['home', 'sos_diff', 'conf_elo_diff', 'trank_adjO_diff', 'def_eff_r10_diff']
  [1369] win=57.2% bets=425 ROI=+10.9%  ['home', 'sos_diff', 'conf_elo_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [1370] win=50.5% bets=475 ROI=-2.0%  ['home', 'sos_diff', 'conf_elo_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [1371] win=53.2% bets=323 ROI=+3.0%  ['home', 'sos_diff', 'conf_elo_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1372] win=59.3% bets=423 ROI=+14.8%  ['home', 'sos_diff', 'trank_adjO_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [1373] win=54.8% bets=473 ROI=+6.2%  ['home', 'sos_diff', 'trank_adjO_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [1374] win=57.0% bets=349 ROI=+10.4%  ['home', 'sos_diff', 'trank_adjO_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1375] win=56.0% bets=370 ROI=+8.1%  ['home', 'sos_diff', 'trank_adjD_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1376] win=60.8% bets=395 ROI=+17.6%  ['home', 'conf_elo_diff', 'trank_adjO_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [1377] win=53.8% bets=431 ROI=+4.6%  ['home', 'conf_elo_diff', 'trank_adjO_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [1378] win=55.4% bets=363 ROI=+7.3%  ['home', 'conf_elo_diff', 'trank_adjO_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1379] win=52.4% bets=347 ROI=+1.7%  ['home', 'conf_elo_diff', 'trank_adjD_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1380] win=57.6% bets=342 ROI=+11.4%  ['home', 'trank_adjO_diff', 'trank_adjD_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1381] win=65.6% bets=727 ROI=+27.2%  ['massey_avg_diff', 'margin_mean_diff', 'barthag_diff', 'sos_diff', 'conf_elo_diff']
  [1382] win=65.5% bets=753 ROI=+26.9%  ['massey_avg_diff', 'margin_mean_diff', 'barthag_diff', 'sos_diff', 'trank_adjO_diff']
  [1383] win=65.8% bets=746 ROI=+27.6%  ['massey_avg_diff', 'margin_mean_diff', 'barthag_diff', 'sos_diff', 'trank_adjD_diff']
  [1384] win=65.6% bets=747 ROI=+27.2%  ['massey_avg_diff', 'margin_mean_diff', 'barthag_diff', 'sos_diff', 'off_eff_r10_diff']
  [1385] win=65.4% bets=751 ROI=+26.7%  ['massey_avg_diff', 'margin_mean_diff', 'barthag_diff', 'sos_diff', 'def_eff_r10_diff']
  [1386] win=65.3% bets=735 ROI=+26.6%  ['massey_avg_diff', 'margin_mean_diff', 'barthag_diff', 'conf_elo_diff', 'trank_adjO_diff']
  [1387] win=64.4% bets=728 ROI=+24.9%  ['massey_avg_diff', 'margin_mean_diff', 'barthag_diff', 'conf_elo_diff', 'trank_adjD_diff']
  [1388] win=65.1% bets=722 ROI=+26.2%  ['massey_avg_diff', 'margin_mean_diff', 'barthag_diff', 'conf_elo_diff', 'off_eff_r10_diff']
  [1389] win=65.1% bets=730 ROI=+26.1%  ['massey_avg_diff', 'margin_mean_diff', 'barthag_diff', 'conf_elo_diff', 'def_eff_r10_diff']
  [1390] win=64.8% bets=754 ROI=+25.8%  ['massey_avg_diff', 'margin_mean_diff', 'barthag_diff', 'trank_adjO_diff', 'trank_adjD_diff']
  [1391] win=65.2% bets=750 ROI=+26.4%  ['massey_avg_diff', 'margin_mean_diff', 'barthag_diff', 'trank_adjO_diff', 'off_eff_r10_diff']
  [1392] win=65.2% bets=751 ROI=+26.5%  ['massey_avg_diff', 'margin_mean_diff', 'barthag_diff', 'trank_adjO_diff', 'def_eff_r10_diff']
  [1393] win=64.7% bets=739 ROI=+25.4%  ['massey_avg_diff', 'margin_mean_diff', 'barthag_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [1394] win=64.6% bets=744 ROI=+25.3%  ['massey_avg_diff', 'margin_mean_diff', 'barthag_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [1395] win=64.9% bets=750 ROI=+25.8%  ['massey_avg_diff', 'margin_mean_diff', 'barthag_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1396] win=65.4% bets=729 ROI=+26.8%  ['massey_avg_diff', 'margin_mean_diff', 'sos_diff', 'conf_elo_diff', 'trank_adjO_diff']
  [1397] win=65.3% bets=723 ROI=+26.6%  ['massey_avg_diff', 'margin_mean_diff', 'sos_diff', 'conf_elo_diff', 'trank_adjD_diff']
  [1398] win=65.4% bets=726 ROI=+26.8%  ['massey_avg_diff', 'margin_mean_diff', 'sos_diff', 'conf_elo_diff', 'off_eff_r10_diff']
  [1399] win=65.5% bets=725 ROI=+27.0%  ['massey_avg_diff', 'margin_mean_diff', 'sos_diff', 'conf_elo_diff', 'def_eff_r10_diff']
