Total configs: 1651
Building features...
Loading ML odds...
  [1400] win=65.3% bets=743 ROI=+26.6%  ['massey_avg_diff', 'margin_mean_diff', 'sos_diff', 'trank_adjO_diff', 'trank_adjD_diff']
  [1401] win=65.4% bets=749 ROI=+26.9%  ['massey_avg_diff', 'margin_mean_diff', 'sos_diff', 'trank_adjO_diff', 'off_eff_r10_diff']
  [1402] win=65.6% bets=753 ROI=+27.2%  ['massey_avg_diff', 'margin_mean_diff', 'sos_diff', 'trank_adjO_diff', 'def_eff_r10_diff']
  [1403] win=65.6% bets=745 ROI=+27.2%  ['massey_avg_diff', 'margin_mean_diff', 'sos_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [1404] win=65.6% bets=747 ROI=+27.1%  ['massey_avg_diff', 'margin_mean_diff', 'sos_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [1405] win=65.3% bets=749 ROI=+26.6%  ['massey_avg_diff', 'margin_mean_diff', 'sos_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1406] win=65.2% bets=719 ROI=+26.5%  ['massey_avg_diff', 'margin_mean_diff', 'conf_elo_diff', 'trank_adjO_diff', 'trank_adjD_diff']
  [1407] win=65.0% bets=718 ROI=+26.1%  ['massey_avg_diff', 'margin_mean_diff', 'conf_elo_diff', 'trank_adjO_diff', 'off_eff_r10_diff']
  [1408] win=65.1% bets=722 ROI=+26.2%  ['massey_avg_diff', 'margin_mean_diff', 'conf_elo_diff', 'trank_adjO_diff', 'def_eff_r10_diff']
  [1409] win=65.0% bets=718 ROI=+26.1%  ['massey_avg_diff', 'margin_mean_diff', 'conf_elo_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [1410] win=65.1% bets=722 ROI=+26.2%  ['massey_avg_diff', 'margin_mean_diff', 'conf_elo_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [1411] win=64.9% bets=730 ROI=+25.8%  ['massey_avg_diff', 'margin_mean_diff', 'conf_elo_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1412] win=65.0% bets=736 ROI=+25.9%  ['massey_avg_diff', 'margin_mean_diff', 'trank_adjO_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [1413] win=64.8% bets=736 ROI=+25.6%  ['massey_avg_diff', 'margin_mean_diff', 'trank_adjO_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [1414] win=65.2% bets=751 ROI=+26.5%  ['massey_avg_diff', 'margin_mean_diff', 'trank_adjO_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1415] win=64.9% bets=743 ROI=+25.6%  ['massey_avg_diff', 'margin_mean_diff', 'trank_adjD_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1416] win=65.6% bets=712 ROI=+27.2%  ['massey_avg_diff', 'barthag_diff', 'sos_diff', 'conf_elo_diff', 'trank_adjO_diff']
  [1417] win=65.5% bets=707 ROI=+27.1%  ['massey_avg_diff', 'barthag_diff', 'sos_diff', 'conf_elo_diff', 'trank_adjD_diff']
  [1418] win=65.5% bets=715 ROI=+26.9%  ['massey_avg_diff', 'barthag_diff', 'sos_diff', 'conf_elo_diff', 'off_eff_r10_diff']
  [1419] win=64.8% bets=734 ROI=+25.7%  ['massey_avg_diff', 'barthag_diff', 'sos_diff', 'conf_elo_diff', 'def_eff_r10_diff']
  [1420] win=64.4% bets=759 ROI=+24.9%  ['massey_avg_diff', 'barthag_diff', 'sos_diff', 'trank_adjO_diff', 'trank_adjD_diff']
  [1421] win=64.8% bets=739 ROI=+25.7%  ['massey_avg_diff', 'barthag_diff', 'sos_diff', 'trank_adjO_diff', 'off_eff_r10_diff']
  [1422] win=64.5% bets=743 ROI=+25.0%  ['massey_avg_diff', 'barthag_diff', 'sos_diff', 'trank_adjO_diff', 'def_eff_r10_diff']
  [1423] win=64.6% bets=742 ROI=+25.2%  ['massey_avg_diff', 'barthag_diff', 'sos_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [1424] win=64.6% bets=751 ROI=+25.2%  ['massey_avg_diff', 'barthag_diff', 'sos_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [1425] win=65.7% bets=752 ROI=+27.4%  ['massey_avg_diff', 'barthag_diff', 'sos_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1426] win=65.1% bets=728 ROI=+26.4%  ['massey_avg_diff', 'barthag_diff', 'conf_elo_diff', 'trank_adjO_diff', 'trank_adjD_diff']
  [1427] win=65.7% bets=721 ROI=+27.5%  ['massey_avg_diff', 'barthag_diff', 'conf_elo_diff', 'trank_adjO_diff', 'off_eff_r10_diff']
  [1428] win=64.8% bets=731 ROI=+25.7%  ['massey_avg_diff', 'barthag_diff', 'conf_elo_diff', 'trank_adjO_diff', 'def_eff_r10_diff']
  [1429] win=65.4% bets=713 ROI=+26.8%  ['massey_avg_diff', 'barthag_diff', 'conf_elo_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [1430] win=64.7% bets=725 ROI=+25.4%  ['massey_avg_diff', 'barthag_diff', 'conf_elo_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [1431] win=64.8% bets=729 ROI=+25.5%  ['massey_avg_diff', 'barthag_diff', 'conf_elo_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1432] win=64.6% bets=755 ROI=+25.3%  ['massey_avg_diff', 'barthag_diff', 'trank_adjO_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
