Total configs: 1651
Building features...
Loading ML odds...
  [1450] win=65.2% bets=738 ROI=+26.3%  ['massey_avg_diff', 'trank_adjO_diff', 'trank_adjD_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1451] win=50.6% bets=472 ROI=-2.0%  ['margin_mean_diff', 'barthag_diff', 'sos_diff', 'conf_elo_diff', 'trank_adjO_diff']
  [1452] win=50.5% bets=473 ROI=-2.2%  ['margin_mean_diff', 'barthag_diff', 'sos_diff', 'conf_elo_diff', 'trank_adjD_diff']
  [1453] win=49.4% bets=472 ROI=-4.5%  ['margin_mean_diff', 'barthag_diff', 'sos_diff', 'conf_elo_diff', 'off_eff_r10_diff']
  [1454] win=50.1% bets=467 ROI=-3.1%  ['margin_mean_diff', 'barthag_diff', 'sos_diff', 'conf_elo_diff', 'def_eff_r10_diff']
  [1455] win=49.7% bets=515 ROI=-3.9%  ['margin_mean_diff', 'barthag_diff', 'sos_diff', 'trank_adjO_diff', 'trank_adjD_diff']
  [1456] win=49.8% bets=506 ROI=-3.7%  ['margin_mean_diff', 'barthag_diff', 'sos_diff', 'trank_adjO_diff', 'off_eff_r10_diff']
  [1457] win=49.8% bets=506 ROI=-3.7%  ['margin_mean_diff', 'barthag_diff', 'sos_diff', 'trank_adjO_diff', 'def_eff_r10_diff']
  [1458] win=50.2% bets=502 ROI=-3.0%  ['margin_mean_diff', 'barthag_diff', 'sos_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [1459] win=49.7% bets=499 ROI=-4.0%  ['margin_mean_diff', 'barthag_diff', 'sos_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [1460] win=50.6% bets=512 ROI=-2.1%  ['margin_mean_diff', 'barthag_diff', 'sos_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1461] win=49.3% bets=452 ROI=-4.5%  ['margin_mean_diff', 'barthag_diff', 'conf_elo_diff', 'trank_adjO_diff', 'trank_adjD_diff']
  [1462] win=48.9% bets=466 ROI=-5.2%  ['margin_mean_diff', 'barthag_diff', 'conf_elo_diff', 'trank_adjO_diff', 'off_eff_r10_diff']
  [1463] win=49.8% bets=456 ROI=-3.6%  ['margin_mean_diff', 'barthag_diff', 'conf_elo_diff', 'trank_adjO_diff', 'def_eff_r10_diff']
  [1464] win=48.1% bets=466 ROI=-7.0%  ['margin_mean_diff', 'barthag_diff', 'conf_elo_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [1465] win=49.1% bets=460 ROI=-4.9%  ['margin_mean_diff', 'barthag_diff', 'conf_elo_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [1466] win=49.0% bets=461 ROI=-5.2%  ['margin_mean_diff', 'barthag_diff', 'conf_elo_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1467] win=49.1% bets=489 ROI=-4.9%  ['margin_mean_diff', 'barthag_diff', 'trank_adjO_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [1468] win=48.9% bets=487 ROI=-5.4%  ['margin_mean_diff', 'barthag_diff', 'trank_adjO_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
