Total configs: 1651
Building features...
Loading ML odds...
  [150] win=65.0% bets=738 ROI=+26.2%  ['massey_avg_diff', 'sos_diff', 'trank_adjO_diff']
  [151] win=65.1% bets=733 ROI=+26.2%  ['massey_avg_diff', 'sos_diff', 'trank_adjD_diff']
  [152] win=64.5% bets=738 ROI=+25.1%  ['massey_avg_diff', 'sos_diff', 'off_eff_r10_diff']
  [153] win=64.7% bets=747 ROI=+25.4%  ['massey_avg_diff', 'sos_diff', 'def_eff_r10_diff']
  [154] win=65.9% bets=710 ROI=+27.9%  ['massey_avg_diff', 'conf_elo_diff', 'trank_adjO_diff']
  [155] win=66.0% bets=708 ROI=+28.0%  ['massey_avg_diff', 'conf_elo_diff', 'trank_adjD_diff']
  [156] win=66.1% bets=711 ROI=+28.2%  ['massey_avg_diff', 'conf_elo_diff', 'off_eff_r10_diff']
  [157] win=64.7% bets=730 ROI=+25.4%  ['massey_avg_diff', 'conf_elo_diff', 'def_eff_r10_diff']
  [158] win=65.1% bets=733 ROI=+26.2%  ['massey_avg_diff', 'trank_adjO_diff', 'trank_adjD_diff']
  [159] win=65.4% bets=739 ROI=+26.7%  ['massey_avg_diff', 'trank_adjO_diff', 'off_eff_r10_diff']
  [160] win=64.6% bets=746 ROI=+25.3%  ['massey_avg_diff', 'trank_adjO_diff', 'def_eff_r10_diff']
  [161] win=65.0% bets=740 ROI=+26.1%  ['massey_avg_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [162] win=64.5% bets=740 ROI=+25.0%  ['massey_avg_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [163] win=64.9% bets=750 ROI=+25.8%  ['massey_avg_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [164] win=50.4% bets=518 ROI=-2.5%  ['margin_mean_diff', 'barthag_diff', 'sos_diff']
  [165] win=49.2% bets=451 ROI=-4.8%  ['margin_mean_diff', 'barthag_diff', 'conf_elo_diff']
  [166] win=48.5% bets=487 ROI=-6.3%  ['margin_mean_diff', 'barthag_diff', 'trank_adjO_diff']
  [167] win=47.7% bets=486 ROI=-7.7%  ['margin_mean_diff', 'barthag_diff', 'trank_adjD_diff']
  [168] win=49.7% bets=485 ROI=-3.9%  ['margin_mean_diff', 'barthag_diff', 'off_eff_r10_diff']
  [169] win=50.2% bets=478 ROI=-2.9%  ['margin_mean_diff', 'barthag_diff', 'def_eff_r10_diff']
  [170] win=49.8% bets=470 ROI=-3.4%  ['margin_mean_diff', 'sos_diff', 'conf_elo_diff']
  [171] win=49.5% bets=499 ROI=-4.1%  ['margin_mean_diff', 'sos_diff', 'trank_adjO_diff']
  [172] win=48.8% bets=535 ROI=-5.5%  ['margin_mean_diff', 'sos_diff', 'trank_adjD_diff']
  [173] win=48.1% bets=505 ROI=-6.5%  ['margin_mean_diff', 'sos_diff', 'off_eff_r10_diff']
  [174] win=48.2% bets=512 ROI=-6.3%  ['margin_mean_diff', 'sos_diff', 'def_eff_r10_diff']
  [175] win=49.6% bets=456 ROI=-4.1%  ['margin_mean_diff', 'conf_elo_diff', 'trank_adjO_diff']
  [176] win=48.4% bets=471 ROI=-6.3%  ['margin_mean_diff', 'conf_elo_diff', 'trank_adjD_diff']
  [177] win=47.9% bets=438 ROI=-6.7%  ['margin_mean_diff', 'conf_elo_diff', 'off_eff_r10_diff']
  [178] win=46.6% bets=423 ROI=-9.4%  ['margin_mean_diff', 'conf_elo_diff', 'def_eff_r10_diff']
  [179] win=47.7% bets=476 ROI=-7.8%  ['margin_mean_diff', 'trank_adjO_diff', 'trank_adjD_diff']
  [180] win=50.7% bets=477 ROI=-1.8%  ['margin_mean_diff', 'trank_adjO_diff', 'off_eff_r10_diff']
  [181] win=50.3% bets=481 ROI=-2.6%  ['margin_mean_diff', 'trank_adjO_diff', 'def_eff_r10_diff']
  [182] win=48.5% bets=511 ROI=-6.2%  ['margin_mean_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [183] win=47.9% bets=503 ROI=-7.4%  ['margin_mean_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [184] win=49.5% bets=473 ROI=-4.2%  ['margin_mean_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [185] win=53.7% bets=361 ROI=+4.2%  ['barthag_diff', 'sos_diff', 'conf_elo_diff']
  [186] win=52.9% bets=384 ROI=+2.2%  ['barthag_diff', 'sos_diff', 'trank_adjO_diff']
