Total configs: 1651
Building features...
Loading ML odds...
  [1500] win=48.8% bets=475 ROI=-5.6%  ['barthag_diff', 'trank_adjO_diff', 'trank_adjD_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1501] win=50.6% bets=449 ROI=-2.1%  ['sos_diff', 'conf_elo_diff', 'trank_adjO_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [1502] win=51.2% bets=445 ROI=-0.5%  ['sos_diff', 'conf_elo_diff', 'trank_adjO_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [1503] win=50.4% bets=446 ROI=-2.3%  ['sos_diff', 'conf_elo_diff', 'trank_adjO_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1504] win=48.2% bets=481 ROI=-6.6%  ['sos_diff', 'conf_elo_diff', 'trank_adjD_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1505] win=50.5% bets=503 ROI=-2.2%  ['sos_diff', 'trank_adjO_diff', 'trank_adjD_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1506] win=49.3% bets=448 ROI=-4.7%  ['conf_elo_diff', 'trank_adjO_diff', 'trank_adjD_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1507] win=72.6% bets=2168 ROI=+41.5%  ['home', 'massey_avg_diff', 'sos_diff', 'conf_elo_diff']
  [1508] win=76.8% bets=1312 ROI=+50.2%  ['home', 'massey_avg_diff', 'sos_diff', 'conf_elo_diff']
  [1509] win=80.6% bets=778 ROI=+57.6%  ['home', 'massey_avg_diff', 'sos_diff', 'conf_elo_diff']
  [1510] win=81.3% bets=433 ROI=+59.5%  ['home', 'massey_avg_diff', 'sos_diff', 'conf_elo_diff']
  [1511] win=72.6% bets=716 ROI=+40.6%  ['home', 'massey_avg_diff', 'sos_diff', 'conf_elo_diff']
  [1512] win=78.6% bets=426 ROI=+52.1%  ['home', 'massey_avg_diff', 'sos_diff', 'conf_elo_diff']
  [1513] win=83.1% bets=260 ROI=+60.3%  ['home', 'massey_avg_diff', 'sos_diff', 'conf_elo_diff']
  [1514] win=81.9% bets=155 ROI=+58.3%  ['home', 'massey_avg_diff', 'sos_diff', 'conf_elo_diff']
  [1515] win=70.0% bets=223 ROI=+36.4%  ['home', 'massey_avg_diff', 'sos_diff', 'conf_elo_diff']
  [1516] win=75.7% bets=144 ROI=+47.1%  ['home', 'massey_avg_diff', 'sos_diff', 'conf_elo_diff']
  [1517] win=83.7% bets= 86 ROI=+62.5%  ['home', 'massey_avg_diff', 'sos_diff', 'conf_elo_diff']
  [1518] win=81.7% bets= 60 ROI=+58.1%  ['home', 'massey_avg_diff', 'sos_diff', 'conf_elo_diff']
  [1519] win=72.5% bets=2177 ROI=+41.3%  ['home', 'massey_avg_diff', 'sos_diff', 'conf_elo_diff']
  [1520] win=76.8% bets=1323 ROI=+50.1%  ['home', 'massey_avg_diff', 'sos_diff', 'conf_elo_diff']
  [1521] win=80.5% bets=784 ROI=+57.4%  ['home', 'massey_avg_diff', 'sos_diff', 'conf_elo_diff']
  [1522] win=81.5% bets=437 ROI=+59.9%  ['home', 'massey_avg_diff', 'sos_diff', 'conf_elo_diff']
  [1523] win=72.6% bets=719 ROI=+40.5%  ['home', 'massey_avg_diff', 'sos_diff', 'conf_elo_diff']
  [1524] win=78.5% bets=429 ROI=+51.9%  ['home', 'massey_avg_diff', 'sos_diff', 'conf_elo_diff']
  [1525] win=83.2% bets=262 ROI=+60.6%  ['home', 'massey_avg_diff', 'sos_diff', 'conf_elo_diff']
  [1526] win=82.3% bets=158 ROI=+59.0%  ['home', 'massey_avg_diff', 'sos_diff', 'conf_elo_diff']
  [1527] win=69.8% bets=225 ROI=+36.1%  ['home', 'massey_avg_diff', 'sos_diff', 'conf_elo_diff']
  [1528] win=75.9% bets=145 ROI=+47.4%  ['home', 'massey_avg_diff', 'sos_diff', 'conf_elo_diff']
  [1529] win=83.7% bets= 86 ROI=+62.5%  ['home', 'massey_avg_diff', 'sos_diff', 'conf_elo_diff']
  [1530] win=81.7% bets= 60 ROI=+58.1%  ['home', 'massey_avg_diff', 'sos_diff', 'conf_elo_diff']
  [1531] win=72.5% bets=2178 ROI=+41.2%  ['home', 'massey_avg_diff', 'sos_diff', 'conf_elo_diff']
  [1532] win=76.8% bets=1329 ROI=+50.0%  ['home', 'massey_avg_diff', 'sos_diff', 'conf_elo_diff']
  [1533] win=80.5% bets=785 ROI=+57.5%  ['home', 'massey_avg_diff', 'sos_diff', 'conf_elo_diff']
  [1534] win=81.5% bets=437 ROI=+59.9%  ['home', 'massey_avg_diff', 'sos_diff', 'conf_elo_diff']
  [1535] win=72.6% bets=719 ROI=+40.5%  ['home', 'massey_avg_diff', 'sos_diff', 'conf_elo_diff']
  [1536] win=78.3% bets=433 ROI=+51.4%  ['home', 'massey_avg_diff', 'sos_diff', 'conf_elo_diff']
  [1537] win=83.2% bets=262 ROI=+60.6%  ['home', 'massey_avg_diff', 'sos_diff', 'conf_elo_diff']
  [1538] win=82.3% bets=158 ROI=+59.0%  ['home', 'massey_avg_diff', 'sos_diff', 'conf_elo_diff']
  [1539] win=69.8% bets=225 ROI=+36.1%  ['home', 'massey_avg_diff', 'sos_diff', 'conf_elo_diff']
  [1540] win=75.9% bets=145 ROI=+47.4%  ['home', 'massey_avg_diff', 'sos_diff', 'conf_elo_diff']
  [1541] win=83.7% bets= 86 ROI=+62.5%  ['home', 'massey_avg_diff', 'sos_diff', 'conf_elo_diff']
  [1542] win=81.7% bets= 60 ROI=+58.1%  ['home', 'massey_avg_diff', 'sos_diff', 'conf_elo_diff']
  [1543] win=72.7% bets=2191 ROI=+41.7%  ['home', 'massey_avg_diff', 'barthag_diff', 'conf_elo_diff']
  [1544] win=76.8% bets=1339 ROI=+50.0%  ['home', 'massey_avg_diff', 'barthag_diff', 'conf_elo_diff']
  [1545] win=79.8% bets=792 ROI=+56.1%  ['home', 'massey_avg_diff', 'barthag_diff', 'conf_elo_diff']
  [1546] win=80.8% bets=443 ROI=+58.7%  ['home', 'massey_avg_diff', 'barthag_diff', 'conf_elo_diff']
  [1547] win=73.2% bets=723 ROI=+41.5%  ['home', 'massey_avg_diff', 'barthag_diff', 'conf_elo_diff']
  [1548] win=78.5% bets=437 ROI=+51.8%  ['home', 'massey_avg_diff', 'barthag_diff', 'conf_elo_diff']
  [1549] win=81.8% bets=263 ROI=+57.8%  ['home', 'massey_avg_diff', 'barthag_diff', 'conf_elo_diff']
