Total configs: 1651
Building features...
Loading ML odds...
  [250] win=50.3% bets=471 ROI=-2.5%  ['elo_diff', 'elo_pred', 'sos_diff', 'conf_elo_diff']
  [251] win=50.3% bets=473 ROI=-2.5%  ['elo_diff', 'elo_pred', 'sos_diff', 'trank_adjO_diff']
  [252] win=50.2% bets=468 ROI=-2.8%  ['elo_diff', 'elo_pred', 'sos_diff', 'trank_adjD_diff']
  [253] win=52.0% bets=485 ROI=+0.8%  ['elo_diff', 'elo_pred', 'sos_diff', 'off_eff_r10_diff']
  [254] win=49.7% bets=473 ROI=-3.8%  ['elo_diff', 'elo_pred', 'sos_diff', 'def_eff_r10_diff']
  [255] win=50.2% bets=470 ROI=-2.7%  ['elo_diff', 'elo_pred', 'conf_elo_diff', 'trank_adjO_diff']
  [256] win=50.3% bets=467 ROI=-2.5%  ['elo_diff', 'elo_pred', 'conf_elo_diff', 'trank_adjD_diff']
  [257] win=52.4% bets=492 ROI=+1.7%  ['elo_diff', 'elo_pred', 'conf_elo_diff', 'off_eff_r10_diff']
  [258] win=50.0% bets=458 ROI=-3.2%  ['elo_diff', 'elo_pred', 'conf_elo_diff', 'def_eff_r10_diff']
  [259] win=49.9% bets=467 ROI=-3.3%  ['elo_diff', 'elo_pred', 'trank_adjO_diff', 'trank_adjD_diff']
  [260] win=51.9% bets=487 ROI=+0.8%  ['elo_diff', 'elo_pred', 'trank_adjO_diff', 'off_eff_r10_diff']
  [261] win=49.6% bets=458 ROI=-4.1%  ['elo_diff', 'elo_pred', 'trank_adjO_diff', 'def_eff_r10_diff']
  [262] win=51.5% bets=472 ROI=-0.2%  ['elo_diff', 'elo_pred', 'trank_adjD_diff', 'off_eff_r10_diff']
  [263] win=49.8% bets=470 ROI=-3.7%  ['elo_diff', 'elo_pred', 'trank_adjD_diff', 'def_eff_r10_diff']
  [264] win=51.6% bets=461 ROI=+0.1%  ['elo_diff', 'elo_pred', 'off_eff_r10_diff', 'def_eff_r10_diff']
