Total configs: 1651
Building features...
Loading ML odds...
  [300] win=55.7% bets=221 ROI=+8.0%  ['elo_diff', 'home', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [301] win=65.7% bets=750 ROI=+27.4%  ['elo_diff', 'massey_avg_diff', 'margin_mean_diff', 'barthag_diff']
  [302] win=65.3% bets=752 ROI=+26.6%  ['elo_diff', 'massey_avg_diff', 'margin_mean_diff', 'sos_diff']
  [303] win=65.8% bets=734 ROI=+27.5%  ['elo_diff', 'massey_avg_diff', 'margin_mean_diff', 'conf_elo_diff']
  [304] win=65.6% bets=750 ROI=+27.2%  ['elo_diff', 'massey_avg_diff', 'margin_mean_diff', 'trank_adjO_diff']
  [305] win=65.7% bets=749 ROI=+27.3%  ['elo_diff', 'massey_avg_diff', 'margin_mean_diff', 'trank_adjD_diff']
  [306] win=65.2% bets=750 ROI=+26.4%  ['elo_diff', 'massey_avg_diff', 'margin_mean_diff', 'off_eff_r10_diff']
  [307] win=65.6% bets=753 ROI=+27.1%  ['elo_diff', 'massey_avg_diff', 'margin_mean_diff', 'def_eff_r10_diff']
  [308] win=65.5% bets=746 ROI=+27.1%  ['elo_diff', 'massey_avg_diff', 'barthag_diff', 'sos_diff']
  [309] win=66.7% bets=735 ROI=+29.2%  ['elo_diff', 'massey_avg_diff', 'barthag_diff', 'conf_elo_diff']
  [310] win=65.2% bets=748 ROI=+26.5%  ['elo_diff', 'massey_avg_diff', 'barthag_diff', 'trank_adjO_diff']
  [311] win=65.9% bets=742 ROI=+27.8%  ['elo_diff', 'massey_avg_diff', 'barthag_diff', 'trank_adjD_diff']
  [312] win=65.3% bets=747 ROI=+26.7%  ['elo_diff', 'massey_avg_diff', 'barthag_diff', 'off_eff_r10_diff']
  [313] win=66.0% bets=749 ROI=+27.8%  ['elo_diff', 'massey_avg_diff', 'barthag_diff', 'def_eff_r10_diff']
  [314] win=66.1% bets=734 ROI=+28.1%  ['elo_diff', 'massey_avg_diff', 'sos_diff', 'conf_elo_diff']
  [315] win=65.3% bets=746 ROI=+26.6%  ['elo_diff', 'massey_avg_diff', 'sos_diff', 'trank_adjO_diff']
  [316] win=65.7% bets=744 ROI=+27.4%  ['elo_diff', 'massey_avg_diff', 'sos_diff', 'trank_adjD_diff']
  [317] win=65.0% bets=748 ROI=+26.0%  ['elo_diff', 'massey_avg_diff', 'sos_diff', 'off_eff_r10_diff']
  [318] win=65.3% bets=749 ROI=+26.6%  ['elo_diff', 'massey_avg_diff', 'sos_diff', 'def_eff_r10_diff']
  [319] win=66.1% bets=741 ROI=+28.1%  ['elo_diff', 'massey_avg_diff', 'conf_elo_diff', 'trank_adjO_diff']
  [320] win=66.4% bets=744 ROI=+28.6%  ['elo_diff', 'massey_avg_diff', 'conf_elo_diff', 'trank_adjD_diff']
  [321] win=66.3% bets=737 ROI=+28.6%  ['elo_diff', 'massey_avg_diff', 'conf_elo_diff', 'off_eff_r10_diff']
  [322] win=66.0% bets=740 ROI=+27.8%  ['elo_diff', 'massey_avg_diff', 'conf_elo_diff', 'def_eff_r10_diff']
