Total configs: 1651
Building features...
Loading ML odds...
  [350] win=50.1% bets=503 ROI=-2.9%  ['elo_diff', 'barthag_diff', 'sos_diff', 'conf_elo_diff']
  [351] win=50.2% bets=522 ROI=-2.7%  ['elo_diff', 'barthag_diff', 'sos_diff', 'trank_adjO_diff']
  [352] win=50.4% bets=522 ROI=-2.4%  ['elo_diff', 'barthag_diff', 'sos_diff', 'trank_adjD_diff']
  [353] win=52.3% bets=516 ROI=+1.3%  ['elo_diff', 'barthag_diff', 'sos_diff', 'off_eff_r10_diff']
  [354] win=50.2% bets=520 ROI=-2.9%  ['elo_diff', 'barthag_diff', 'sos_diff', 'def_eff_r10_diff']
  [355] win=50.3% bets=511 ROI=-2.5%  ['elo_diff', 'barthag_diff', 'conf_elo_diff', 'trank_adjO_diff']
  [356] win=50.2% bets=508 ROI=-2.7%  ['elo_diff', 'barthag_diff', 'conf_elo_diff', 'trank_adjD_diff']
  [357] win=51.8% bets=519 ROI=+0.4%  ['elo_diff', 'barthag_diff', 'conf_elo_diff', 'off_eff_r10_diff']
  [358] win=50.4% bets=496 ROI=-2.4%  ['elo_diff', 'barthag_diff', 'conf_elo_diff', 'def_eff_r10_diff']
  [359] win=50.7% bets=523 ROI=-1.9%  ['elo_diff', 'barthag_diff', 'trank_adjO_diff', 'trank_adjD_diff']
  [360] win=51.2% bets=525 ROI=-0.8%  ['elo_diff', 'barthag_diff', 'trank_adjO_diff', 'off_eff_r10_diff']
  [361] win=50.5% bets=513 ROI=-2.4%  ['elo_diff', 'barthag_diff', 'trank_adjO_diff', 'def_eff_r10_diff']
  [362] win=50.8% bets=524 ROI=-1.6%  ['elo_diff', 'barthag_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [363] win=50.7% bets=513 ROI=-1.9%  ['elo_diff', 'barthag_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [364] win=51.2% bets=512 ROI=-0.9%  ['elo_diff', 'barthag_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [365] win=50.3% bets=505 ROI=-2.5%  ['elo_diff', 'sos_diff', 'conf_elo_diff', 'trank_adjO_diff']
  [366] win=49.7% bets=503 ROI=-3.7%  ['elo_diff', 'sos_diff', 'conf_elo_diff', 'trank_adjD_diff']
