Total configs: 1651
Building features...
Loading ML odds...
  [400] win=54.0% bets=322 ROI=+4.2%  ['elo_pred', 'home', 'barthag_diff', 'sos_diff']
  [401] win=53.7% bets=326 ROI=+3.6%  ['elo_pred', 'home', 'barthag_diff', 'conf_elo_diff']
  [402] win=53.1% bets=326 ROI=+2.4%  ['elo_pred', 'home', 'barthag_diff', 'trank_adjO_diff']
  [403] win=53.9% bets=319 ROI=+4.0%  ['elo_pred', 'home', 'barthag_diff', 'trank_adjD_diff']
  [404] win=60.3% bets=287 ROI=+16.6%  ['elo_pred', 'home', 'barthag_diff', 'off_eff_r10_diff']
  [405] win=54.2% bets=312 ROI=+4.5%  ['elo_pred', 'home', 'barthag_diff', 'def_eff_r10_diff']
  [406] win=55.8% bets=326 ROI=+7.9%  ['elo_pred', 'home', 'sos_diff', 'conf_elo_diff']
  [407] win=55.1% bets=325 ROI=+6.4%  ['elo_pred', 'home', 'sos_diff', 'trank_adjO_diff']
  [408] win=54.6% bets=324 ROI=+5.4%  ['elo_pred', 'home', 'sos_diff', 'trank_adjD_diff']
  [409] win=58.7% bets=283 ROI=+13.3%  ['elo_pred', 'home', 'sos_diff', 'off_eff_r10_diff']
  [410] win=54.1% bets=316 ROI=+4.5%  ['elo_pred', 'home', 'sos_diff', 'def_eff_r10_diff']
  [411] win=54.6% bets=324 ROI=+5.5%  ['elo_pred', 'home', 'conf_elo_diff', 'trank_adjO_diff']
  [412] win=54.5% bets=325 ROI=+5.1%  ['elo_pred', 'home', 'conf_elo_diff', 'trank_adjD_diff']
  [413] win=57.9% bets=290 ROI=+12.1%  ['elo_pred', 'home', 'conf_elo_diff', 'off_eff_r10_diff']
  [414] win=52.7% bets=313 ROI=+1.8%  ['elo_pred', 'home', 'conf_elo_diff', 'def_eff_r10_diff']
  [415] win=54.2% bets=321 ROI=+4.6%  ['elo_pred', 'home', 'trank_adjO_diff', 'trank_adjD_diff']
