Total configs: 1651
Building features...
Loading ML odds...
  [450] win=50.7% bets=605 ROI=-2.0%  ['elo_pred', 'margin_mean_diff', 'barthag_diff', 'conf_elo_diff']
  [451] win=51.0% bets=629 ROI=-1.4%  ['elo_pred', 'margin_mean_diff', 'barthag_diff', 'trank_adjO_diff']
  [452] win=51.0% bets=628 ROI=-1.6%  ['elo_pred', 'margin_mean_diff', 'barthag_diff', 'trank_adjD_diff']
  [453] win=51.6% bets=626 ROI=-0.2%  ['elo_pred', 'margin_mean_diff', 'barthag_diff', 'off_eff_r10_diff']
  [454] win=51.6% bets=624 ROI=-0.3%  ['elo_pred', 'margin_mean_diff', 'barthag_diff', 'def_eff_r10_diff']
  [455] win=50.6% bets=624 ROI=-2.0%  ['elo_pred', 'margin_mean_diff', 'sos_diff', 'conf_elo_diff']
  [456] win=50.4% bets=641 ROI=-2.5%  ['elo_pred', 'margin_mean_diff', 'sos_diff', 'trank_adjO_diff']
  [457] win=50.6% bets=625 ROI=-2.3%  ['elo_pred', 'margin_mean_diff', 'sos_diff', 'trank_adjD_diff']
  [458] win=50.2% bets=649 ROI=-2.9%  ['elo_pred', 'margin_mean_diff', 'sos_diff', 'off_eff_r10_diff']
  [459] win=50.5% bets=649 ROI=-2.3%  ['elo_pred', 'margin_mean_diff', 'sos_diff', 'def_eff_r10_diff']
  [460] win=51.5% bets=612 ROI=-0.5%  ['elo_pred', 'margin_mean_diff', 'conf_elo_diff', 'trank_adjO_diff']
  [461] win=50.5% bets=620 ROI=-2.5%  ['elo_pred', 'margin_mean_diff', 'conf_elo_diff', 'trank_adjD_diff']
  [462] win=50.7% bets=633 ROI=-2.0%  ['elo_pred', 'margin_mean_diff', 'conf_elo_diff', 'off_eff_r10_diff']
  [463] win=50.8% bets=636 ROI=-1.8%  ['elo_pred', 'margin_mean_diff', 'conf_elo_diff', 'def_eff_r10_diff']
  [464] win=50.7% bets=629 ROI=-2.0%  ['elo_pred', 'margin_mean_diff', 'trank_adjO_diff', 'trank_adjD_diff']
  [465] win=51.1% bets=646 ROI=-1.2%  ['elo_pred', 'margin_mean_diff', 'trank_adjO_diff', 'off_eff_r10_diff']
  [466] win=51.7% bets=648 ROI=-0.1%  ['elo_pred', 'margin_mean_diff', 'trank_adjO_diff', 'def_eff_r10_diff']
  [467] win=50.3% bets=638 ROI=-2.8%  ['elo_pred', 'margin_mean_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [468] win=50.5% bets=639 ROI=-2.3%  ['elo_pred', 'margin_mean_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [469] win=50.8% bets=665 ROI=-1.8%  ['elo_pred', 'margin_mean_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [470] win=51.3% bets=651 ROI=-0.8%  ['elo_pred', 'barthag_diff', 'sos_diff', 'conf_elo_diff']
  [471] win=50.9% bets=693 ROI=-1.6%  ['elo_pred', 'barthag_diff', 'sos_diff', 'trank_adjO_diff']
  [472] win=50.9% bets=694 ROI=-1.7%  ['elo_pred', 'barthag_diff', 'sos_diff', 'trank_adjD_diff']
  [473] win=51.1% bets=651 ROI=-1.0%  ['elo_pred', 'barthag_diff', 'sos_diff', 'off_eff_r10_diff']
  [474] win=50.4% bets=674 ROI=-2.5%  ['elo_pred', 'barthag_diff', 'sos_diff', 'def_eff_r10_diff']
  [475] win=51.7% bets=657 ROI=+0.1%  ['elo_pred', 'barthag_diff', 'conf_elo_diff', 'trank_adjO_diff']
  [476] win=51.4% bets=653 ROI=-0.5%  ['elo_pred', 'barthag_diff', 'conf_elo_diff', 'trank_adjD_diff']
  [477] win=51.9% bets=613 ROI=+0.3%  ['elo_pred', 'barthag_diff', 'conf_elo_diff', 'off_eff_r10_diff']
  [478] win=50.9% bets=635 ROI=-1.6%  ['elo_pred', 'barthag_diff', 'conf_elo_diff', 'def_eff_r10_diff']
  [479] win=51.2% bets=672 ROI=-1.1%  ['elo_pred', 'barthag_diff', 'trank_adjO_diff', 'trank_adjD_diff']
  [480] win=51.1% bets=651 ROI=-1.1%  ['elo_pred', 'barthag_diff', 'trank_adjO_diff', 'off_eff_r10_diff']
  [481] win=50.6% bets=666 ROI=-2.2%  ['elo_pred', 'barthag_diff', 'trank_adjO_diff', 'def_eff_r10_diff']
  [482] win=51.3% bets=651 ROI=-0.8%  ['elo_pred', 'barthag_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [483] win=50.4% bets=674 ROI=-2.5%  ['elo_pred', 'barthag_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [484] win=51.3% bets=631 ROI=-0.7%  ['elo_pred', 'barthag_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [485] win=51.3% bets=657 ROI=-0.8%  ['elo_pred', 'sos_diff', 'conf_elo_diff', 'trank_adjO_diff']
  [486] win=51.8% bets=653 ROI=+0.1%  ['elo_pred', 'sos_diff', 'conf_elo_diff', 'trank_adjD_diff']
  [487] win=51.3% bets=633 ROI=-0.6%  ['elo_pred', 'sos_diff', 'conf_elo_diff', 'off_eff_r10_diff']
  [488] win=50.6% bets=650 ROI=-2.1%  ['elo_pred', 'sos_diff', 'conf_elo_diff', 'def_eff_r10_diff']
  [489] win=51.0% bets=680 ROI=-1.3%  ['elo_pred', 'sos_diff', 'trank_adjO_diff', 'trank_adjD_diff']
  [490] win=50.7% bets=664 ROI=-1.8%  ['elo_pred', 'sos_diff', 'trank_adjO_diff', 'off_eff_r10_diff']
  [491] win=50.8% bets=675 ROI=-1.7%  ['elo_pred', 'sos_diff', 'trank_adjO_diff', 'def_eff_r10_diff']
  [492] win=50.3% bets=648 ROI=-2.7%  ['elo_pred', 'sos_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [493] win=50.5% bets=681 ROI=-2.3%  ['elo_pred', 'sos_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [494] win=50.9% bets=648 ROI=-1.5%  ['elo_pred', 'sos_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [495] win=51.5% bets=648 ROI=-0.4%  ['elo_pred', 'conf_elo_diff', 'trank_adjO_diff', 'trank_adjD_diff']
  [496] win=52.1% bets=624 ROI=+0.8%  ['elo_pred', 'conf_elo_diff', 'trank_adjO_diff', 'off_eff_r10_diff']
  [497] win=50.8% bets=642 ROI=-1.8%  ['elo_pred', 'conf_elo_diff', 'trank_adjO_diff', 'def_eff_r10_diff']
  [498] win=50.5% bets=622 ROI=-2.3%  ['elo_pred', 'conf_elo_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [499] win=50.5% bets=648 ROI=-2.4%  ['elo_pred', 'conf_elo_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
